country,category,group,value,gdp
Luxembourg,perc,1973-1977,0.0,9336.35710195929
Luxembourg,perc,1978-1982,0.0,14741.53719249476
Luxembourg,perc,1983-1987,0.0,16062.16361874482
Luxembourg,perc,1988-1992,0.0,33256.6067722827
Luxembourg,perc,1993-1997,0.0,47881.30277440956
Luxembourg,perc,1998-2002,0.21326419606344324,49816.984936769724
Luxembourg,perc,2003-2007,1.0,83442.02740129744
Luxembourg,perc,2008-2013,1.0,109765.5788232345
Monaco,perc,1973-1977,0.0,26525.03027283704
Monaco,perc,1978-1982,0.0,44294.5350784536
Monaco,perc,1983-1987,0.0,45610.63571177215
Monaco,perc,1988-1992,0.0,79343.42768365509
Monaco,perc,1993-1997,0.0,93745.13280900854
Monaco,perc,1998-2002,0.0,87494.34240241296
Monaco,perc,2003-2007,0.4,131830.16424270178
Monaco,perc,2008-2013,0.16666666666666666,165827.43904434182
Netherlands,perc,1973-1977,1.0,7242.911834655992
Netherlands,perc,1978-1982,1.0,12072.58028075786
Netherlands,perc,1983-1987,1.0,12215.411808600164
Netherlands,perc,1988-1992,1.0,20413.86432395624
Netherlands,perc,1993-1997,1.0,26546.841203906177
Netherlands,perc,1998-2002,1.0,27675.1263871707
Netherlands,perc,2003-2007,1.0,42922.089997825424
Netherlands,perc,2008-2013,1.0,52920.82592567063
New Zealand,perc,1973-1977,0.0,4485.9931807806015
New Zealand,perc,1978-1982,0.20053376867541517,7108.531048015456
New Zealand,perc,1983-1987,0.4,8734.221636484548
New Zealand,perc,1988-1992,0.0,12951.55510606762
New Zealand,perc,1993-1997,0.2,16408.74029769806
New Zealand,perc,1998-2002,0.2,14891.76328829578
New Zealand,perc,2003-2007,1.0,26853.28412869662
New Zealand,perc,2008-2013,1.0,35754.55330784663
Norway,perc,1973-1977,1.0,7979.777990794677
Norway,perc,1978-1982,0.6808376371696745,14203.764066824118
Norway,perc,1983-1987,0.8,17411.943904570922
Norway,perc,1988-1992,0.8780607012462516,27170.4478815151
Norway,perc,1993-1997,0.9041173497272474,33220.93306387428
Norway,perc,1998-2002,1.0,38183.52589324378
Norway,perc,2003-2007,1.0,66748.57546462415
Norway,perc,2008-2013,1.0,95047.33817355063
Poland,perc,1973-1977,0.0,
Poland,perc,1978-1982,0.0,
Poland,perc,1983-1987,0.0,
Poland,perc,1988-1992,0.0,2141.9237681438735
Poland,perc,1993-1997,0.0,3462.544652844398
Poland,perc,1998-2002,0.0,4714.253634162706
Poland,perc,2003-2007,0.0,8137.945556239734
Poland,perc,2008-2013,0.16666666666666666,13158.1141365004
Portugal,perc,1973-1977,0.0,2063.543143211136
Portugal,perc,1978-1982,0.0,2981.7392833249623
Portugal,perc,1983-1987,0.0,3326.1765752475267
Portugal,perc,1988-1992,0.0,7867.623924223968
Portugal,perc,1993-1997,0.4,11011.984734618925
Portugal,perc,1998-2002,1.0,12158.2682874874
Portugal,perc,2003-2007,1.0,19040.95461423338
Portugal,perc,2008-2013,0.993044894994266,22635.092708962115
Qatar,perc,1973-1977,0.0,15051.037949675714
Qatar,perc,1978-1982,0.0,29180.44785461374
Qatar,perc,1983-1987,0.0,16550.39145078526
Qatar,perc,1988-1992,0.0,14535.398645789519
Qatar,perc,1993-1997,0.0,16621.38633015552
Qatar,perc,1998-2002,0.0,25805.09842665452
Qatar,perc,2003-2007,0.2,50610.016920075
Qatar,perc,2008-2013,0.0,76544.78575661773
Romania,perc,1973-1977,0.0,
Romania,perc,1978-1982,0.0,
Romania,perc,1983-1987,0.0,1673.8383638999499
Romania,perc,1988-1992,0.0,1526.2700970181802
Romania,perc,1993-1997,0.0,1468.369464478406
Romania,perc,1998-2002,0.0,1811.4653918790682
Romania,perc,2003-2007,0.0,4981.989638604891
Romania,perc,2008-2013,0.0,9064.72813791588
Saudi Arabia,perc,1973-1977,0.2,6442.033353250603
Saudi Arabia,perc,1978-1982,0.34469701312151735,14063.762734130718
Saudi Arabia,perc,1983-1987,0.6821612255459127,8165.594740365401
Saudi Arabia,perc,1988-1992,0.0,7000.737948137384
Saudi Arabia,perc,1993-1997,0.0,7896.977650114207
Saudi Arabia,perc,1998-2002,0.0,8395.699483463515
Saudi Arabia,perc,2003-2007,0.0,13297.582081716886
Saudi Arabia,perc,2008-2013,0.0,21547.97544000175
Slovak Republic,perc,1973-1977,0.0,
Slovak Republic,perc,1978-1982,0.0,
Slovak Republic,perc,1983-1987,0.0,
Slovak Republic,perc,1988-1992,0.0,2661.4721469533933
Slovak Republic,perc,1993-1997,0.0,4392.042921528015
Slovak Republic,perc,1998-2002,0.0,5761.208533645219
Slovak Republic,perc,2003-2007,0.2,12043.57840355713
Slovak Republic,perc,2008-2013,0.5,17569.561201323766
Slovenia,perc,1973-1977,0.0,
Slovenia,perc,1978-1982,0.0,
Slovenia,perc,1983-1987,0.0,
Slovenia,perc,1988-1992,0.0,7406.846358083072
Slovenia,perc,1993-1997,0.0,9221.794719959531
Slovenia,perc,1998-2002,0.0,11025.681281993242
Slovenia,perc,2003-2007,0.0,18775.59967544282
Slovenia,perc,2008-2013,0.3333333333333333,24408.1172087943
South Africa,perc,1973-1977,0.0,1437.720709756474
South Africa,perc,1978-1982,0.0,2499.616372642542
South Africa,perc,1983-1987,0.0,2665.107989508008
South Africa,perc,1988-1992,0.0,3372.765794445194
South Africa,perc,1993-1997,0.0,3525.9627008885386
South Africa,perc,1998-2002,0.0,2887.7311545344483
South Africa,perc,2003-2007,0.0,5132.83191300663
South Africa,perc,2008-2013,0.0,6881.666518310103
Spain,perc,1973-1977,0.0,3014.6334240166298
Spain,perc,1978-1982,0.0,5358.627209997734
Spain,perc,1983-1987,0.0,5668.813462157132
Spain,perc,1988-1992,0.6,12987.441543905483
Spain,perc,1993-1997,1.0,14575.5777175967
Spain,perc,1998-2002,1.0,15607.68004963436
Spain,perc,2003-2007,1.0,26823.41624494252
Spain,perc,2008-2013,1.0,31376.810808229766
Sweden,perc,1973-1977,1.0,9440.752319688632
Sweden,perc,1978-1982,0.8186601971089775,14592.038367264942
Sweden,perc,1983-1987,1.0,15623.805876315502
Sweden,perc,1988-1992,1.0,28704.89404080236
Sweden,perc,1993-1997,1.0,28479.285551123303
Sweden,perc,1998-2002,1.0,29351.616523009317
Sweden,perc,2003-2007,1.0,44467.142146141225
Sweden,perc,2008-2013,1.0,55235.68861191223
Switzerland,perc,1973-1977,1.0,9651.620349636112
Switzerland,perc,1978-1982,1.0,17402.287418137363
Switzerland,perc,1983-1987,1.0,20761.364838589223
Switzerland,perc,1988-1992,1.0,35701.53670094111
Switzerland,perc,1993-1997,1.0,43140.3493224627
Switzerland,perc,1998-2002,0.999675129987649,39972.443350987785
Switzerland,perc,2003-2007,0.9996662020240089,55503.028793320365
Switzerland,perc,2008-2013,1.0,79014.55970970995
Taiwan,perc,1973-1977,0.0,
Taiwan,perc,1978-1982,0.0,
Taiwan,perc,1983-1987,0.0,
Taiwan,perc,1988-1992,0.0,
Taiwan,perc,1993-1997,0.18899901053714976,
Taiwan,perc,1998-2002,0.009514645769371066,
Taiwan,perc,2003-2007,0.4,
Taiwan,perc,2008-2013,0.6597325974490125,
Thailand,perc,1973-1977,0.0,358.1345415391444
Thailand,perc,1978-1982,0.0,653.0703935053709
Thailand,perc,1983-1987,0.0,822.8109592914219
Thailand,perc,1988-1992,0.0,1514.4286875314278
Thailand,perc,1993-1997,0.0,2611.9087335346962
Thailand,perc,1998-2002,0.0,1975.2559437992138
Thailand,perc,2003-2007,3.6241173208439014e-06,3051.173722599826
Thailand,perc,2008-2013,6.236762125522164e-06,5198.32755721512
United Arab Emirates,perc,1973-1977,0.2,30263.083937839703
United Arab Emirates,perc,1978-1982,0.0,37949.46229499731
United Arab Emirates,perc,1983-1987,0.0,28813.591823831084
United Arab Emirates,perc,1988-1992,0.0,25417.2027403453
United Arab Emirates,perc,1993-1997,0.0,27430.86817979604
United Arab Emirates,perc,1998-2002,0.0,30302.02339730268
United Arab Emirates,perc,2003-2007,0.0,38582.92030999588
United Arab Emirates,perc,2008-2013,0.5,38833.37099290809
United Kingdom,perc,1973-1977,1.0,4042.29847109685
United Kingdom,perc,1978-1982,0.7199397948999888,8511.829181752926
United Kingdom,perc,1983-1987,1.0,9850.525708183197
United Kingdom,perc,1988-1992,1.0,18341.96294158374
United Kingdom,perc,1993-1997,1.0,22398.85292461068
United Kingdom,perc,1998-2002,1.0,28369.819503951905
United Kingdom,perc,2003-2007,1.0,42151.53711403066
United Kingdom,perc,2008-2013,1.0,41854.89080040006
United States,perc,1973-1977,1.0,7959.667407095653
United States,perc,1978-1982,1.0,12644.7647031548
United States,perc,1983-1987,1.0,18002.423044637642
United States,perc,1988-1992,1.0,23584.80321069776
United States,perc,1993-1997,1.0,28839.974914408736
United States,perc,1998-2002,0.9999997837155552,35771.71023779351
United States,perc,2003-2007,0.9828088909826602,43919.746768068275
United States,perc,2008-2013,0.9999999009828618,49757.14721846011
