DEPLOYMENT_PROVINCE,1965 Mar,1965 Apr,1965 May,1965 Jun,1965 Jul,1965 Aug,1965 Sep,1965 Oct,1965 Nov,1965 Dec,1966 Jan,1966 Feb,1966 Mar,1966 Apr,1966 May,1966 Jun,1966 Jul,1966 Aug,1966 Sep,1966 Oct,1966 Nov,1966 Dec,1967 Jan,1967 Feb,1967 Mar,1967 Apr,1967 May,1967 Jun,1967 Jul,1967 Aug,1967 Sep,1967 Oct,1967 Nov,1967 Dec,1968 Jan,1968 Feb,1968 Mar,1968 Apr,1968 May,1968 Jun,1968 Jul,1968 Aug,1968 Sep,1968 Oct,1968 Nov,1968 Dec,1969 Jan,1969 Feb,1969 Mar,1969 Apr,1969 May,1969 Jun,1969 Jul,1969 Aug,1969 Sep,1969 Oct,1969 Nov,1969 Dec,1970 Jan,1970 Feb,1970 Mar,1970 Apr,1970 May,1970 Jun,1970 Jul,1970 Aug,1970 Sep,1970 Oct,1970 Nov,1970 Dec,1971 Jan,1971 Feb,1971 Mar,1971 Apr,1971 May,1971 Jun,1971 Jul,1971 Aug,1971 Sep,1971 Oct,1971 Nov,1971 Dec,1972 Jan,1972 Feb,1972 Mar,1972 Apr,1972 May,1972 Jun,1972 Jul,1972 Aug,1972 Sep,1972 Oct,1972 Nov,1972 Dec,1973 Jan,1973 Feb,1973 Mar
Quang Binh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quang Nam,5.0,3.0,6.0,20.0,24.0,19.0,37.0,47.0,30.0,62.0,54.0,37.0,67.0,67.0,106.0,70.0,79.0,70.0,93.0,61.0,83.0,70.0,92.0,78.0,98.0,128.0,143.0,76.0,110.0,125.0,129.0,126.0,169.0,125.0,151.0,264.0,155.0,90.0,305.0,210.0,196.0,236.0,218.0,126.0,174.0,210.0,155.0,278.0,204.0,187.0,217.0,167.0,119.0,218.0,97.0,77.0,91.0,86.0,63.0,108.0,118.0,61.0,64.0,68.0,60.0,72.0,54.0,36.0,46.0,22.0,33.0,28.0,24.0,20.0,25.0,18.0,20.0,17.0,14.0,16.0,5.0,3.0,9.0,6.0,3.0,6.0,1.0,2.0,7.0,5.0,3.0,1.0,3.0,3.0,1.0,1.0,0.0
Quang Ngai,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,162.0,10.0,3.0,8.0,15.0,3.0,9.0,7.0,10.0,8.0,22.0,53.0,71.0,54.0,143.0,76.0,49.0,46.0,30.0,26.0,29.0,20.0,40.0,32.0,48.0,51.0,43.0,36.0,40.0,47.0,88.0,38.0,30.0,30.0,99.0,57.0,92.0,47.0,124.0,104.0,71.0,77.0,54.0,44.0,22.0,20.0,38.0,48.0,52.0,60.0,61.0,19.0,30.0,39.0,37.0,52.0,45.0,25.0,21.0,25.0,20.0,39.0,4.0,10.0,10.0,7.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
Quang Ninh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quang Tri,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,125.0,37.0,120.0,57.0,16.0,55.0,16.0,26.0,183.0,116.0,419.0,128.0,259.0,79.0,266.0,137.0,62.0,100.0,207.0,402.0,400.0,422.0,603.0,331.0,198.0,172.0,220.0,94.0,63.0,62.0,31.0,216.0,219.0,116.0,113.0,169.0,61.0,88.0,68.0,57.0,32.0,15.0,14.0,13.0,15.0,33.0,74.0,20.0,16.0,21.0,24.0,11.0,7.0,8.0,20.0,75.0,133.0,33.0,56.0,30.0,8.0,16.0,12.0,4.0,1.0,3.0,2.0,0.0,2.0,4.0,2.0,3.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soc Trang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Son La,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tay Ninh,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,105.0,147.0,77.0,27.0,4.0,10.0,10.0,11.0,17.0,21.0,56.0,102.0,28.0,21.0,48.0,45.0,23.0,22.0,117.0,63.0,45.0,121.0,77.0,81.0,87.0,123.0,112.0,97.0,132.0,47.0,75.0,56.0,37.0,60.0,27.0,42.0,50.0,66.0,93.0,30.0,32.0,30.0,21.0,3.0,9.0,1.0,5.0,3.0,10.0,1.0,3.0,2.0,7.0,1.0,1.0,2.0,2.0,7.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Thua Thien Hue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thai Binh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
