TOTAL_TRIPS,BusStopCode,type,Description,Latitude,Longitude
89,10009,origin,Bt Merah Int,1.28210155945393,103.81722480263163
51,10017,origin,Aft Hosp Dr,1.27832046633393,103.83762574759974
10,10049,origin,OPP KAMPONG BAHRU TER,1.27623302424393,103.83483786772155
11,10089,origin,Blk 119,1.28292332245689,103.82165660905856
25,10149,origin,Blk 1,1.28606797463712,103.83283384311112
81,10169,origin,Tiong Bahru Stn,1.28599961406266,103.82748123930962
9,10371,origin,Blk 129,1.28365072319387,103.824502653383
44,10499,origin,KAMPONG BAHRU TER,1.27585400417691,103.83401000002084
6,13121,origin,Opp Great World City,1.29409221679274,103.8308377640795
2,13141,origin,Aft Zion Full Gospel Ch,1.29763682834545,103.82997986347917
3,13191,origin,Bef Orchard Blvd,1.30266053145965,103.82987799248593
4,40121,origin,Opp Newton Life Ch,1.31458164930261,103.84053190286843
2,40171,origin,Opp Env Bldg,1.3109517198906,103.83582101192815
8,40181,origin,Newton Stn Exit A,1.31243561231028,103.83798341278676
1,40189,origin,Newton Stn Exit B,1.31223181292182,103.83816095637219
28,50031,origin,Opp Novena Ch,1.32127307292791,103.84177172353408
52,50038,origin,Novena Stn,1.31962671001555,103.84343862536716
3,50041,origin,Novena Lodge,1.32362333324914,103.84161545670325
1,50049,origin,Opp Novena Lodge,1.32354108650178,103.84189326889334
10,50051,origin,Thomson Med Ctr,1.3256128334349,103.84186148677112
9,50059,origin,Opp Thomson Med Ctr,1.32489453398384,103.84211744421322
5,50061,origin,Opp Hotel Royal,1.31743500021924,103.84143789916804
1,50069,origin,Hotel Royal,1.31702163080967,103.84164776289317
3,50111,origin,Revival Ctr Ch,1.31875833024702,103.8465549576423
2,50119,origin,St. Joseph Instn Jnr,1.31829503182752,103.8458185038638
14,50121,origin,Natl Skin Ctr,1.31930304159281,103.84933923160258
3,50129,origin,Opp Tan Tock Seng Hosp,1.3189880880064,103.84929028517206
18,50159,origin,Bef Kim Keat Lane,1.32456066077113,103.85326623915941
7,50169,origin,Aft Irrawaddy Rd,1.32647401158756,103.84420812253344
9,50179,origin,Opp Zhongshan Mall,1.32640402126103,103.8464203281907
14,50189,origin,Opp Public Man,1.32606229603246,103.84849190712964
6,50199,origin,Opp Shaw Plaza,1.32496824756028,103.85050892832005
5,50209,origin,Aft Pegu Rd,1.32392782849174,103.85158181192296
16,50231,origin,Northlight Sch,1.31872472201456,103.85492583301323
11,50331,origin,Blk 122,1.31862919267946,103.85727882383885
11,50349,origin,Blk 107,1.31930481783402,103.85957694494822
1,51011,origin,Opp Tan Tong Meng Twr,1.32770447989161,103.84095472172798
306,52009,origin,Toa Payoh Int,1.33202083385749,103.84692763524869
18,52039,origin,Aft Muhajirin Mque,1.34333817728421,103.85130310024304
4,52049,origin,Blk 19,1.32721151783698,103.85978762051998
21,52071,origin,Trellis Twrs,1.32991416932901,103.84381843224321
7,52099,origin,Opp NKF,1.32652328466497,103.85488905075222
2,52119,origin,Opp Blk 65,1.32782675894568,103.8581076205424
7,52129,origin,Blk 29,1.32544666698102,103.85938111100755
54,52261,origin,Opp Blk 73,1.33403167346972,103.85128140448401
50,52271,origin,Jackson Sq,1.33683113907107,103.84974718092391
43,52369,origin,Blk 237,1.34001833298065,103.85273333299853
16,52451,origin,Blk 114,1.3253199216809,103.85731928602708
12,52499,origin,St. Michael's Ter,1.32603759751245,103.85537211273478
29,52509,origin,Opp Toa Payoh Swim Cplx,1.33115712303762,103.85017633434691
118,53009,origin,Bishan Int,1.35045541249544,103.84988083722291
59,53161,origin,Opp Blk 254,1.36221142414319,103.84214462138529
2,53219,origin,Raffles Instn,1.34606111102286,103.8465836110301
16,53221,origin,BLK 115,1.34816840593896,103.8484543562104
56,53239,origin,OPP BISHAN STN,1.35100305612802,103.8476587818646
8,53249,origin,BLK 210,1.35538305217047,103.84911895270494
74,53371,origin,Blk 257,1.35994333341045,103.84379568310376
120,53381,origin,Bishan Nth Shop Mall,1.35830432828214,103.84496212009292
28,53391,origin,Opp Blk 203,1.35444291744538,103.84696320325273
248,54011,origin,Blk 207,1.36567044820875,103.84341042482097
18,54101,origin,Aft Ang Mo Kio Ave 10,1.35732097800984,103.85465761724518
706,54241,origin,Blk 700B,1.36913518643274,103.84618005827467
