TOTAL_TRIPS,BusStopCode,type,Description,Latitude,Longitude
234,10009,origin,Bt Merah Int,1.28210155945393,103.81722480263163
150,10017,origin,Aft Hosp Dr,1.27832046633393,103.83762574759974
157,10018,origin,Outram Pk Stn Exit F/SGH,1.27900819665099,103.83860360621959
48,10049,origin,OPP KAMPONG BAHRU TER,1.27623302424393,103.83483786772155
55,10059,origin,Opp Blk 149,1.27739664167497,103.83275178077875
24,10069,origin,Opp Blk 140,1.27855472196877,103.83008250001669
152,10079,origin,Blk 201,1.2803950142786,103.82708906887606
74,10089,origin,Blk 119,1.28292332245689,103.82165660905856
137,10099,origin,Opp Bt Merah Town Ctr,1.28420923932422,103.81765723225827
13,10109,origin,BT MERAH SEC SCH,1.28535315729277,103.81370529674271
73,10119,origin,Opp Pacific Tech Ctr,1.28598009010704,103.81122515087834
150,10139,origin,Blk 1,1.28635135443034,103.8081000223439
161,10149,origin,Blk 1,1.28606797463712,103.83283384311112
250,10169,origin,Tiong Bahru Stn,1.28599961406266,103.82748123930962
15,10179,origin,Tiong Bahru Pk,1.28722333302937,103.82395833301354
12,10189,origin,Blk 104A CP,1.28858805222806,103.82183192865197
47,10199,origin,Delta Swim Cplx,1.28875723330649,103.81936618662205
79,10209,origin,Redhill Stn,1.28954631749853,103.81672885450702
20,10299,origin,Aft Dawson Rd,1.29233498466278,103.81146486767658
18,10329,origin,Crescent Girls' Sch,1.29364671283262,103.81597460107542
21,10341,origin,Opp Blk 116,1.28484639603431,103.82059301467888
26,10351,origin,Bef Tiong Bahru Rd,1.28675501760897,103.82204990181914
8,10371,origin,Blk 129,1.28365072319387,103.824502653383
27,10381,origin,Opp Blk 48,1.28906972186602,103.82559411728036
3,10461,origin,Aft Margaret Dr,1.29680597432594,103.81169140516062
5,10471,origin,Bef Tanglin Rd,1.29679993078344,103.81468220659576
77,11019,origin,Pk Hotel Alexandra,1.28679632523156,103.80565677295323
23,11029,origin,Blk 166,1.29013472201419,103.80202111098815
2,11039,origin,Blk 19,1.29245762862665,103.79998683928974
4,11049,origin,Opp Blessed Sacrament Ch,1.2954609366563,103.79952549937242
22,11059,origin,Queenstown Polyclinic,1.29882892782979,103.80097389222824
71,11169,origin,C'Wealth Stn Exit B/C,1.30270500001823,103.79838166697326
30,11179,origin,Blk 8,1.30627521395682,103.79427940117534
106,11189,origin,Blk 43,1.30740138898924,103.79254222202354
16,11199,origin,Blk 15,1.30837970735444,103.78843145303215
68,11209,origin,Opp Peirce Rd,1.30817280849852,103.81038349817638
4,11219,origin,Great Eastern Mans,1.30988506093033,103.80716407830104
16,11229,origin,Les Jardins De Holland,1.31060065879064,103.80522542227166
13,11239,origin,Fairlodge,1.31152857401616,103.80165517330278
