BusStopCode,RATIO,TOTAL,Description,Latitude,Longitude
46989,1725.3623188405797,35266,Opp Blk 540,1.42802334589801,103.79221259917931
25201,1696.987951807229,8949,Aft Tuas Rd,1.31926000001423,103.65870833303143
26011,1661.6541353383457,2343,Bef Tuas Ave 11,1.31922965607898,103.64876709883725
96271,1658.7499999999998,4221,Opp Global Logistics Ctr,1.32913596796858,103.96366258799002
44721,1627.2727272727273,380,Opp Jelapang Stn,1.38679108297845,103.76491900002709
46439,1625.1527494908353,33882,Blk 880,1.44413536712492,103.79265007190847
34019,1625.0,414,Aft Lim Chu Kang Lane 4,1.43253416698475,103.70773805599093
23231,1571.698113207547,9746,Keppel Logistics,1.30926499998419,103.67491833296833
13209,1565.1041666666665,6394,Opp British High Comm,1.3040310710651,103.82205605505206
98059,1561.731843575419,11898,Aft Loyang Way,1.37320003118402,103.97437194693713
22019,1509.8669623059868,14521,Opp Jurong Bird Pk,1.32202402246272,103.7071133033833
26251,1505.1136363636363,2825,Bef Tuas Sth Ave 2,1.31744784261205,103.62972683501111
47659,1479.8467432950192,20617,Blk 685A,1.44146349893337,103.80545909188204
25111,1452.2435897435898,4843,Aft Tuas Ave 10,1.33239888543698,103.64981610844488
98229,1443.956043956044,1405,Honey Well,1.37796803000431,103.97468689087003
95179,1436.0703812316717,5238,DHL,1.37635787246647,104.00221640515575
32039,1433.3333333333335,92,Aft Ama Keng Rd,1.40251788786303,103.70081478116067
46799,1405.017640141121,76786,Blk 786A CP,1.44586617373151,103.79970850070715
48071,1400.909090909091,3302,Mandai Crematorium,1.41176331480418,103.80578610823426
96411,1390.2298850574714,2593,OPP EIGHTRIUM,1.337761389,103.9637911
43351,1380.4129464285713,26529,Blk 168,1.34701122644751,103.7411014207074
25379,1377.2727272727273,650,Aft Tuas Ave 6,1.3242164088822,103.64900097889706
24441,1375.8620689655172,856,GSK,1.30713498253909,103.66096830094709
26099,1357.4468085106384,1370,Bef Tuas Ave 13,1.32464249366642,103.63599686578979
26261,1357.4262461851476,28653,Aft Tuas Sth Ave 4,1.31470906872568,103.62871219060811
83279,1353.6945812807883,5902,Aft Carmen St,1.3188308339316,103.92510530820441
44859,1345.0980392156862,1474,Maysprings Condo,1.37763753804628,103.76321805626448
24381,1340.1146131805158,5026,GE Keppel Energy Svcs,1.3068880559927,103.66532722200753
60011,1329.2326431181486,11734,BENDEMEER STN EXIT A,1.31471795031338,103.86376795493321
23241,1327.0833333333335,685,Aft Benoi Rd,1.3102543597714,103.67981162071217
18061,1301.526717557252,1836,Blk 71,1.29671588928647,103.78738045694247
15121,1298.2102908277404,6250,Sci Pk 2/The Gemini,1.2889414210404,103.78373044277906
59699,1289.3371757925072,4821,Opp Blk 935,1.42465170948607,103.83604361024612
95149,1264.775561097257,21891,Bef Cargo Bldg D,1.38128155042147,103.99785682775334
31079,1251.6129032258063,838,Opp Chinese Cemy Path 11,1.37768611102662,103.69632194402648
96389,1247.2199170124481,16234,Opp Changi City Pt,1.33316035695047,103.96219500000879
44529,1232.739059967585,16446,Blk 410,1.38057038161005,103.7417695571546
90061,1212.4117053481332,13006,Dunman High Sch,1.2981225,103.8824094
30031,1206.8482070638986,48471,Opp Army Logistics Base,1.37461935383489,103.71983865916742
23099,1199.264705882353,1767,Bef First Lok Yang Rd,1.32467117178875,103.69286142759196
29149,1186.0795454545455,9054,Senkee Logistics Hub,1.30169278947484,103.7484455108314
27279,1184.7661353540632,98336,Blk 953,1.34210239034142,103.69119289371211
49211,1175.294117647059,1084,PUB Quarter,1.43868741216241,103.7350959713107
27189,1158.3690987124462,2932,Opp PUB Sub-Stn,1.35607204234326,103.68903921690323
18329,1158.3177570093458,6732,University Health Ctr,1.2989244439988,103.77611416701255
48119,1149.7549019607843,10198,Bef Mandai Rd,1.40961851672775,103.77929091400647
26349,1128.3540802213001,8881,Tuas Technology Pk,1.3119396916744,103.62993851893346
83269,1105.6737588652481,1700,Opp Opera Est Pr Sch,1.31895097253228,103.92346501346623
25511,1102.0833333333335,577,MICHELMAN,1.32981500001918,103.64080472198735
65129,1100.0,468,Aft Track 22,1.41636994946863,103.90966514650623
25491,1090.9090909090908,262,Opp Super Continental,1.33901033639652,103.63816647849173
27199,1072.1788194444446,27007,Hall 11,1.35434216792763,103.68685754938303
90031,1041.4201183431953,5787,Tg Ria Condo,1.296454444,103.8750589
32079,1033.3333333333335,34,Opp Track 13,1.41512827700833,103.70026822968337
98239,1027.9582366589327,9723,Opp Loyang Ind Est,1.37149806503652,103.97258859531347
98129,1026.1515601783062,7579,Opp Krislite Bldg,1.37213166662042,103.97053295605356
33049,1015.032679738562,1706,Aft Lim Chu Kang Lane 3,1.42621743469097,103.70543799603165
25171,1005.5276381909548,4400,Becton Dickinson Med,1.32546645428693,103.65711196773577
12189,1000.0,2926,Bef Mt Sinai Dr,1.31642693680141,103.78022402243116
30121,997.4175035868006,15298,BLK 805D,1.37211783027051,103.74443713836388
49141,978.8571428571428,1888,Ctrl Granite Ind,1.4383065782824,103.74365393048626
46429,974.768875192604,27901,Blk 856,1.44071444400658,103.7931500000338
43389,948.6027014438753,45027,Opp Blk 102,1.34760499094973,103.74834299093746
44641,940.7939767282683,30412,Blk 602,1.38178063199093,103.76285898246775
52099,922.4656638325703,31267,Opp NKF,1.32652328466497,103.85488905075222
71189,918.3020948180816,9236,Paya Lebar Air Base,1.34494057674135,103.89909457528678
98149,916.5938864628821,2328,Wacker Chemicals,1.37583493620324,103.974255326806
65549,914.8641449120937,19049,After Sumang Lane,1.403521,103.8912
97069,912.1165644171779,6599,Lloyd Leas Work Rel Camp,1.3651566598248,103.9752874368773
46941,910.4426299957026,23513,Opp Nylect Engrg,1.45167306508663,103.80547695607456
30101,904.2857142857142,703,BLK 485B,1.373713,103.738897
54419,903.7337662337663,24732,Opp Blk 527,1.37206167776818,103.8548909469337
24279,900.4016064257028,4982,Cameron Iron Works,1.31480277476233,103.6767463061916
25121,899.6503496503497,5718,Aft Tuas Ave 8,1.33060763294167,103.65169663523501
21121,893.9473684210526,3777,SPC Svc Stn,1.31469130993085,103.71601687480324
22289,890.6976744186046,7242,Bef Fan Yoong Rd,1.32926333300758,103.70284000001512
24599,885.1963746223564,3261,Bef Joo Koon Way,1.32562284433654,103.66926644008088
11359,882.6996197718632,5169,Opp Blk 13,1.30931022636473,103.78968608347117
22161,882.0566631689403,9359,Aft Lok Yang Way,1.32551656861142,103.69643109025226
96241,880.5555555555555,7766,LAGUNA NATL COUNTRY CLUB,1.32746975992942,103.96702744644506
25669,878.5714285714287,137,AFT TUAS BAY LINK,1.293396,103.639523
24691,865.8536585365854,3564,Aft Tuas Rd,1.31344500002083,103.65712805602769
65569,865.7534246575343,705,OPP WATERWAY PR SCH,1.398633889,103.9191989
40201,835.4822834645669,19009,Chelsea Gdns Condo,1.31358972201496,103.82743055599407
45209,833.6964980544748,11998,Police Tactical Trg Camp,1.4099988110322,103.76653377102565
32109,828.5714285714287,325,Bef Lor Serambi,1.3857176700282,103.69770270003046
73049,826.6094420600858,8636,Air Force Sch,1.35075966304764,103.89911545547028
26039,826.5560165975105,2233,ASIA POLYURETHANE,1.316062,103.645623
33059,820.8333333333334,221,Aft Lim Chu Kang Lane 3A,1.42935991121752,103.70662973279376
25569,812.5,219,OPP INVISTA,1.318191,103.637247
45489,805.6827820186597,10678,BEF CHOA CHU KANG LK,1.3937917601606,103.75199938008781
46979,804.2668595190744,50015,Opp Blk 507,1.43130555598072,103.79065444401148
44519,795.1335877862596,18762,Blk 402,1.3791475870641,103.73970664823418
25431,791.4110429447852,1453,Super Continental,1.33897644927954,103.63658739973077
95159,790.2662592754256,61188,Near SATS Flight Kitchen,1.34191465289349,103.98225051798305
58151,789.5150034891835,50987,Bef Sembawang Stn,1.44835904274406,103.82201343608213
46449,781.9200779727096,36194,Blk 875,1.44235503567241,103.79003727703439
12139,779.0744466800805,4369,Aft Mt Sinai Lane,1.31453185933289,103.78504157068625
46681,776.7260095527573,20191,Blk 899A,1.4357329097814,103.79577696652271
67691,770.2777777777777,12532,BLK 338A,1.39899,103.8887775
25501,770.0,1740,Kee Wee Hup Kee,1.33379055380717,103.6436358584241
23049,766.7238421955403,15159,Jurong Camp,1.33410764081742,103.69061140570352
66559,760.8695652173913,1584,Opp Blk 984A,1.381952,103.881758
29139,758.792924037461,8253,Opp Foh Foh Pte Ltd,1.30295846509397,103.75137448307609
21529,750.3045066991474,6981,Opp Grandluxe,1.3340830392462,103.71509707566638
84669,742.5958893024762,52064,Blk 73,1.31994111212465,103.94418156021838
80279,742.2184493491794,44646,Mountbatten Stn Exit B,1.30514903438296,103.88342000727887
58089,736.8351063829788,6293,Aft Andrews Ave,1.45873255930273,103.83654216993519
72161,733.3333333333333,825,AFT BARTLEY VIADUCT,1.34114935376337,103.916355499978
54409,727.9804028307022,15210,Opp Blk 522,1.37270833297137,103.85213888899418
84279,727.9583875162548,6367,Aft Bedok Nth St 5,1.33664160677812,103.94439635871171
22329,719.2182410423452,2515,Opp Sam Mccoy Engrg,1.33024346855102,103.70501590196446
46189,718.4463562753036,64690,Blk 12,1.44008271628617,103.77854042726402
16169,707.6049943246311,21345,NUS Raffles Hall,1.30098333297992,103.77270416701658
45071,704.769782189137,29189,Bef Mandai Rd,1.40955433592964,103.75568311864467
49109,702.5,642,Kranji Wtr Reclam Plt,1.42885154471804,103.75622617449282
12149,701.8099547511313,3544,Henry Pk,1.31576900455367,103.78266099158458
23251,699.074074074074,1726,Aft Shipyard Rd,1.3117223561773,103.68378143028161
26331,696.4959568733153,2955,RS Components,1.30869957612651,103.63213426017337
46491,695.4317548746518,14278,Blk 402,1.43188974761143,103.77200799456398
30111,691.4675767918089,2319,BLK 804B,1.37245788679333,103.74282538457524
25181,685.981308411215,2523,MAN Diesel,1.32385296919519,103.65881324089645
44451,682.3642347778386,28525,Blk 224,1.38077375279629,103.74424353296656
50189,676.5017667844523,43950,Opp Public Man,1.32606229603246,103.84849190712964
43399,672.700296735905,5208,Opp Blk 120,1.35066714575721,103.74808875836682
96361,668.2480620155038,24776,Aft Akzonobel,1.33649110063455,103.96643704167043
27261,661.2596553773025,12812,Hall 4,1.34332011366726,103.68632093846232
13109,660.8944954128441,26540,UE Sq,1.29350944398488,103.84272416702719
10221,659.3949044585987,9538,Ganges Ctr,1.29032906602668,103.83111793441608
46039,658.7867298578199,40026,Opp Kranji Lodge 1,1.4330873187738,103.76200180616921
46321,655.9132720105125,23010,W'Lands Civic Ctr,1.43457763941924,103.78655642033898
64561,649.5123780945236,19982,Blk 574,1.37715998902026,103.88690877548076
55329,649.2753623188406,5687,Nanyang Poly,1.37901970079676,103.84722527828754
95079,647.8048780487806,3066,Opp Changi Beach CP 4,1.39019416668503,103.99252027779501
53201,646.7583497053046,11403,Opp Nea Reg Off,1.36128501070806,103.83850250682744
42151,644.7688071908656,183943,Beauty World Stn Exit C,1.34009254981171,103.77531978477353
85031,637.7128953771289,9096,Excelsior Gdns,1.32501115145725,103.95232021806196
50199,632.686163676579,29813,Opp Shaw Plaza,1.32496824756028,103.85050892832005
21539,625.5384615384615,4716,Opp Kaily Packaging,1.33136152392518,103.71633089417061
67319,625.1336898395722,9492,Blk 336B,1.39738047818719,103.8888966274991
99029,623.8961038961039,13935,Aft Cranwell Rd,1.38664086819653,103.97959306203218
96141,619.7986577181208,21450,Blk 120,1.34470972121071,103.95324349664256
23109,617.5084175084174,4262,Aft Third Lok Yang Rd,1.32468138902865,103.69068388898825
26311,610.204081632653,2436,Aft Tuas Sth Ave 6,1.30228826515768,103.62978115947503
10231,609.5863264800595,28646,Blk 51 CP,1.29041850946952,103.82788100149519
21621,609.1496232508074,13176,Blk 354,1.3392149977089,103.72205929003123
76049,605.703564727955,18807,OPP BLK 842C,1.35118252345739,103.93633200959248
16131,605.2371541501976,7137,Opp Kent Ridge Ter,1.29487639088562,103.76935201010454
77361,602.792181890706,17619,Blk 555,1.36800665136778,103.95173655442387
13049,602.3696682464455,2964,Bef Rochalie Dr,1.30261671321463,103.82045069624506
30041,602.2727272727273,13905,Opp Home Team Academy,1.37462014104762,103.72188815233464
32069,600.0,28,B26 Lim Chu Kang Rd,1.41103257931936,103.7003812106999
54259,598.75,1118,Opp Grandeur 8,1.3772094440158,103.84628222196814
46631,596.4732417469756,33967,Blk 892C CP,1.43689297551872,103.78915264291737
27379,596.4190774042221,44536,Blk 755,1.34805042142493,103.70087385175057
46161,594.9290060851927,6852,GES S'pore,1.44536006142756,103.77556464561282
93181,592.7272727272727,762,Opp CP C4,1.30333972198999,103.91793277803113
54161,592.4573243350536,17443,Opp Blk 255,1.37107664581619,103.83482933088284
15189,592.1630094043887,2208,DNV Technology Ctr,1.29079779477822,103.78550255759306
90011,590.7608695652174,1271,Bef Tg Rhu View,1.29711286404721,103.86924820515104
32059,588.8888888888889,62,Opp Track 11,1.40903140804682,103.70120779053055
18071,588.536384007548,58381,NUH,1.29540809825612,103.7844750019296
21651,587.8069196428571,24651,Opp Chinese Gdn,1.33873014874255,103.72402172321266
96079,584.9785407725321,3192,ITE Coll East Tec Blk,1.33542124082545,103.95353854906277
66129,581.5520762423417,10012,Aft Chuan Gdn,1.361491111,103.8680175
44541,574.8587570621469,7167,Northvale Condo,1.38764444400097,103.74593527798108
43279,569.7707231040565,56964,Aft Hillview Stn,1.36203855984679,103.76591020179649
46789,568.0061349693251,21777,Opp Admiralty Pr Sch,1.44351138898079,103.80106305603081
10411,566.3129973474801,2512,Opp Blk 53,1.28912979528004,103.81280840030111
76361,564.3547763310559,51534,Blk 430,1.36002524992852,103.95032266084807
21259,562.8058727569331,8126,Opp Sime Darby,1.33604134949327,103.71043700168366
11211,562.448559670782,6439,Aft Peirce Rd,1.30838779885113,103.80939522851014
84379,562.3206401766004,48005,Opp Blk 546,1.33041495636834,103.92645503858006
75469,561.3350125944584,5251,Opp Reebonz Bldg,1.36626888891089,103.93315812393162
20241,560.8623548922056,3985,Opp Blk 51,1.32116277513743,103.73638362986378
29011,559.5328467153284,22589,Opp Sanmina-SCI,1.3085474999723,103.73362194401842
21519,556.0114503816794,6875,Amoy Canning,1.33295908040191,103.71129155158583
97099,555.6876061120544,3862,Aft Loyang Ave,1.37318166697573,103.97643861099502
43361,553.9099823987931,26006,Blk 154A,1.3469143511774,103.74343203545553
96441,553.781512605042,1556,OPP SUTD,1.33954269927544,103.96290652054516
21341,553.4883720930233,843,Opp Beecham Pte Ltd,1.33517345758852,103.70895825573741
24671,552.3648648648648,1931,Hiap Teck Metal Co,1.30957805602715,103.66123000003104
43481,550.8672448298867,39026,Blk 315,1.35992912103835,103.74637905142735
97079,549.6012759170653,4073,Opp Selarang Camp,1.36810642046998,103.97758382793815
67429,548.8700564971751,2297,Cheng Lim LRT,1.39637340662334,103.89381749259768
48101,548.5148514851486,1310,Aft Meng Suan Rd,1.40241038608699,103.81439973574913
28201,547.9103978602474,19379,Opp The JTC Summit,1.33205706208933,103.7418504873348
29089,544.1463414634146,5282,Swanson Plastics,1.30146754204298,103.75270485878043
54529,543.9245283018868,8532,Opp Blk 5043,1.3733597291276,103.86303621815655
65141,542.0739683672256,53992,Soo Teck Stn,1.40454805557377,103.89716388800268
40359,540.256175663312,6998,Opp Blk 461C,1.35540218970451,103.74090581028908
23039,539.2,799,Aft Benoi Flyover,1.32303111111252,103.68151388887642
46241,538.2565959648216,24675,Opp Blk 15,1.44211845227565,103.77894354468205
23059,537.9470198675497,9633,Aft Kian Teck Rd,1.33071284667323,103.68813759846915
23169,537.3134328358209,4270,Bef Kian Teck Rd,1.32768833297607,103.68867638901021
67729,535.0230414746544,2756,Bef Punggol Rd,1.37948933048443,103.89872566951759
64041,534.5404891949656,53441,The Midtown,1.37016500002901,103.89535999996711
46519,530.6020898988223,38019,Opp Blk 144,1.43554811627266,103.77213801008084
58161,527.0317203056263,54163,Bef Sembawang Shipyard G 3,1.46052755709037,103.82037350350512
44311,520.0466200466201,26600,Opp Blk 253,1.37930410199585,103.77434920734999
80031,519.6165547882358,128304,Kallang Stn,1.31107705658993,103.8713149052975
76511,515.5241397706055,23076,THE TAMPINES TRILLIANT,1.35940728864246,103.93942626783013
