PATH,TOTAL_TRIPS,BusStopCode
46979/46009,26518,46979
67401/46009,26507,67401
59171/59009,26475,59171
66051/66359,26449,66051
59211/59159,26368,59211
59159/59219,26234,59159
22009/27351,26231,22009
45069/44029,26207,45069
59009/59209,26180,59009
46039/45139,26167,46039
65269/65009,26088,65269
22009/21399,26085,22009
59181/59009,26064,59181
84031/84041,26042,84031
78111/77009,26028,78111
84009/84449,26016,84009
59641/59009,25980,59641
61101/60269,25961,61101
59561/59711,25961,59561
22249/22009,25961,22249
53009/53351,25954,53009
46009/65199,25919,46009
59191/59072,25890,59191
22009/21431,25779,22009
59249/59009,25758,59249
19039/19019,25737,19039
19011/19031,25707,19011
45009/44691,25703,45009
52391/52009,25642,52391
52089/52009,25615,52089
75009/76369,25591,75009
84219/84009,25581,84219
46449/46008,25501,46449
46008/46071,25497,46008
53009/53279,25318,53009
66351/66481,25241,66351
67009/67231,25201,67009
10161/10349,25148,10161
84411/84009,25146,84411
25421/26269,25119,25421
75009/75261,25062,75009
54289/54009,25049,54289
22009/27369,25033,22009
22009/27439,24952,22009
46009/46411,24948,46009
45061/45131,24933,45061
59119/59159,24911,59119
46521/46541,24865,46521
17079/17171,24822,17079
75009/76421,24819,75009
46779/46859,24727,46779
81111/82032,24682,81111
54311/54009,24634,54311
10361/10169,24566,10361
27309/22529,24546,27309
52319/52009,24540,52319
46519/46069,24501,46519
52009/52291,24494,52009
84541/84009,24483,84541
54299/54269,24364,54299
46419/46008,24278,46419
22521/27271,24265,22521
54009/54019,24244,54009
22009/21441,24244,22009
46671/46779,24230,46671
53399/53231,24205,53399
59761/59569,24182,59761
11521/10209,24156,11521
81111/82119,24145,81111
54231/54009,24043,54231
28099/28391,24038,28099
22009/22341,24010,22009
82049/81129,23995,82049
67409/67389,23990,67409
11179/11169,23986,11179
28009/28501,23960,28009
19031/17151,23895,19031
54389/53231,23895,54389
59091/59219,23852,59091
54189/54009,23849,54189
58539/58211,23826,58539
67379/67009,23818,67379
46851/46779,23787,46851
42311/43009,23786,42311
44009/45311,23783,44009
21581/28091,23686,21581
