TOTAL_TRIPS,BusStopCode,type,Description,Latitude,Longitude
84,10017,origin,Aft Hosp Dr,1.27832046633393,103.83762574759974
346,10018,origin,Outram Pk Stn Exit F/SGH,1.27900819665099,103.83860360621959
61,10049,origin,OPP KAMPONG BAHRU TER,1.27623302424393,103.83483786772155
44,10391,origin,Opp Melati Blk 2,1.27627105343758,103.8312563936613
4,14011,origin,Bef Mt Faber Lodge,1.26795444401606,103.8255261109799
110,14119,origin,Opp VivoCity,1.26592360897281,103.8222827803663
267,14129,origin,Harbourfront Stn Exit A,1.26607869101924,103.81977877391114
24,14139,origin,Bef Seah Im Rd,1.2686352773503,103.81546952380809
20,14159,origin,Bef Chr Community Chapel,1.26994046445496,103.81315419081787
34,14169,origin,Opp Telok Blangah Stn,1.27118550385957,103.80941810434497
7,14179,origin,Yeo's Bldg,1.27188454577735,103.80630000533797
5,14189,origin,Aft Alexandra Rd,1.27269303340787,103.80398363214624
34,14229,origin,St. Teresa's Ch,1.27370670186653,103.82857888915174
55,14239,origin,Opp Keppel DP Blk 519,1.27178138152481,103.8271423936315
28,15049,origin,Bef PSA Bldg,1.274590541032,103.80216344738955
10,15059,origin,Opp Alexandra Pt,1.27686194443878,103.80270111113056
216,17009,origin,Clementi Int,1.31491572870629,103.76412225438476
8,17159,origin,Blk 365,1.311975556,103.7698144
20,17239,origin,NTUC Fairprice,1.312440556,103.7658489
5,18019,origin,Bef Telok Blangah Hill Pk,1.28091055556275,103.80252305556165
3,18049,origin,Opp Normanton Pk,1.29018147748939,103.79208093037771
2,18109,origin,Opp PSB Science Pk Bldg,1.29403436577434,103.78672599789039
3,18129,origin,Ayer Rajah Ind Est,1.29776225378985,103.78570767644749
8,19039,origin,Dover Stn,1.31167951129602,103.77868390552867
1,19049,origin,Sch Of Science & Tech,1.31266302174215,103.77479215922537
10,19071,origin,Opp Acs Independent,1.30515500002931,103.78108305597279
2,19081,origin,Opp ACS Boarding Sch,1.30256972202724,103.78282472199413
6,19099,origin,Opp S'pore Poly,1.30697118032996,103.78191236221397
537,40011,origin,LITTLE INDIA STN EXIT A,1.30606411522588,103.84908751469008
298,40101,origin,KK Women & Child Hosp,1.31036186651665,103.84779148902439
564,46009,origin,W'Lands Temp Int,1.43762790090815,103.7864999963898
74,46269,origin,Republic Poly,1.44217333334596,103.78588499999181
9,46271,origin,Opp Blk 802,1.44040195107982,103.78588806965098
15,46451,origin,Opp Blk 872,1.44454396366237,103.78920988459528
65,46461,origin,Opp Blk 757A CP,1.44659598354815,103.79359661898341
84,46471,origin,Opp Blk 773,1.44796931841747,103.79758820990358
66,46481,origin,Aft Woodlands Ind Pk E6,1.44964404178885,103.8011125258027
90,46711,origin,Bef Admiralty Rd West,1.45470160187201,103.80084970775462
5,46721,origin,Bef W'Lands Ind Pk E7,1.45248916519346,103.80178758846797
79,47071,origin,Bef British American Tobacco,1.45761031985152,103.80214839695255
78,47801,origin,Sunshine Bakery,1.46417400978934,103.8129834777538
25,47811,origin,W'Lands Sunny Food,1.46237692251291,103.80898707919847
95,47821,origin,Opp Sumitomo Bakelite S'pore,1.46077717684188,103.80582927631109
110,48021,origin,Aft Mandai Lake Rd,1.41091935719422,103.7794566466511
2,48029,origin,Bef Mandai Lake Rd,1.41056509187543,103.77968553987141
20,48031,origin,LP 162,1.41109191008995,103.78316982719807
19,48041,origin,Aft Jln Ulu Sembawang,1.41268317529503,103.78892108182363
517,48051,origin,Mandai Agrotech Pk,1.41529381857807,103.79737495337397
4,48059,origin,Opp Mandai Agrotech Pk,1.41502109155627,103.79763214717948
30,48061,origin,Bef Mandai Ave,1.41583154711836,103.80385151827096
6,48069,origin,Aft Mandai Ave,1.41601156056508,103.80203473964005
746,48071,origin,Mandai Crematorium,1.41176331480418,103.80578610823426
12,48079,origin,Opp Mandai Crematorium,1.41314885322808,103.805294456727
73,48081,origin,Opp Upp Seletar Reservoir,1.40542137548827,103.80892543786545
10,48089,origin,Upp Seletar Reservoir,1.40560991243809,103.80795339830527
129,48091,origin,SCDF Nee Soon Camp,1.40274777797647,103.81238027797018
363,48101,origin,Aft Meng Suan Rd,1.40241038608699,103.81439973574913
231,48111,origin,Aft Mandai Rd,1.40944188012509,103.77966346202638
389,48119,origin,Bef Mandai Rd,1.40961851672775,103.77929091400647
10594,48131,origin,S'Pore Zoo,1.40462388269986,103.78935694475769
334,50011,origin,Opp Parish Of Christ Ch,1.31181999999518,103.84719777801662
375,50021,origin,United Sq,1.3173533543911,103.84421700922245
261,50031,origin,Opp Novena Ch,1.32127307292791,103.84177172353408
17,50041,origin,Novena Lodge,1.32362333324914,103.84161545670325
203,50051,origin,Thomson Med Ctr,1.3256128334349,103.84186148677112
244,50169,origin,Aft Irrawaddy Rd,1.32647401158756,103.84420812253344
507,50179,origin,Opp Zhongshan Mall,1.32640402126103,103.8464203281907
375,50189,origin,Opp Public Man,1.32606229603246,103.84849190712964
265,50199,origin,Opp Shaw Plaza,1.32496824756028,103.85050892832005
527,50209,origin,Aft Pegu Rd,1.32392782849174,103.85158181192296
572,50229,origin,Balestier Twrs,1.32095764720403,103.85283489560972
