BusStopCode,TIME_PER_HOUR,TOTAL_TRIPS
10009,10,17609
10011,10,2122
10017,10,2206
10018,10,3341
10021,10,560
10041,10,1870
10049,10,1637
10051,10,874
10059,10,731
10061,10,840
10069,10,815
10071,10,3626
10079,10,3821
10081,10,2227
10089,10,2346
10091,10,3811
10099,10,2789
10101,10,804
10109,10,478
10111,10,2006
10119,10,1894
10121,10,1102
10129,10,1422
10131,10,2118
10139,10,3842
10141,10,4591
10149,10,4995
10151,10,1824
10161,10,11856
10169,10,17050
10171,10,588
10179,10,690
10181,10,1085
10189,10,1671
10191,10,3879
10199,10,2711
10201,10,5163
10209,10,5760
10211,10,57
10219,10,46
10221,10,427
10229,10,236
10231,10,1079
10239,10,950
10241,10,401
10249,10,501
10261,10,512
10269,10,374
10271,10,431
10279,10,496
10281,10,1422
10289,10,505
10291,10,3395
10299,10,5364
10321,10,820
10329,10,417
10331,10,666
10339,10,1158
10341,10,1716
10349,10,3319
10351,10,1201
10359,10,496
10361,10,1532
10369,10,2577
10371,10,2482
10379,10,1697
10381,10,988
10389,10,1865
10391,10,751
10399,10,610
10401,10,261
10409,10,262
10411,10,93
10419,10,76
10421,10,805
10429,10,468
10431,10,253
10439,10,279
10441,10,172
10449,10,273
10451,10,132
10459,10,117
10461,10,139
10469,10,126
10471,10,265
10479,10,366
10481,10,977
10489,10,677
10499,10,840
10501,10,396
10519,10,842
10599,10,1427
10651,10,1078
10659,10,284
11009,10,3955
11019,10,3180
11021,10,1698
11029,10,3760
11031,10,711
11039,10,745
11041,10,971
11049,10,805
11051,10,2001
11059,10,3439
11061,10,548
11069,10,168
11071,10,1341
11079,10,822
11081,10,198
11089,10,290
11091,10,498
11099,10,446
11101,10,2104
11109,10,1245
11111,10,1953
11119,10,2412
11131,10,373
11139,10,664
11141,10,3030
11149,10,3046
11151,10,1295
11159,10,601
11161,10,7910
11169,10,12651
11171,10,1057
11179,10,2616
11181,10,2398
11189,10,5631
11191,10,1060
11199,10,1609
11201,10,271
11209,10,713
11211,10,175
11219,10,215
11221,10,494
11229,10,373
11231,10,528
11239,10,640
11259,10,210
11261,10,1852
11269,10,1291
11271,10,252
11279,10,236
11281,10,66
11289,10,136
