BusStopCode,TIME_PER_HOUR,TOTAL_TRIPS
10009,9,19047
10011,9,2121
10017,9,2267
10018,9,4745
10021,9,740
10041,9,3009
10049,9,2100
10051,9,921
10059,9,804
10061,9,1234
10069,9,755
10071,9,5657
10079,9,4316
10081,9,4575
10089,9,3314
10091,9,4511
10099,9,3259
10101,9,1347
10109,9,743
10111,9,2948
10119,9,3368
10121,9,1292
10129,9,1889
10131,9,2320
10139,9,5728
10141,9,4865
10149,9,5801
10151,9,2124
10161,9,17855
10169,9,19318
10171,9,852
10179,9,786
10181,9,1420
10189,9,2250
10191,9,4499
10199,9,2629
10201,9,8681
10209,9,9686
10211,9,57
10219,9,78
10221,9,486
10229,9,347
10231,9,1368
10239,9,1100
10241,9,514
10249,9,1102
10261,9,664
10269,9,406
10271,9,601
10279,9,630
10281,9,2529
10289,9,701
10291,9,4532
10299,9,6354
10321,9,1316
10329,9,533
10331,9,1747
10339,9,2656
10341,9,1860
10349,9,5173
10351,9,1381
10359,9,477
10361,9,2387
10369,9,4916
10371,9,3030
10379,9,2049
10381,9,1314
10389,9,2324
10391,9,868
10399,9,808
10401,9,418
10409,9,382
10411,9,200
10419,9,190
10421,9,1654
10429,9,523
10431,9,272
10439,9,358
10441,9,478
10449,9,259
10451,9,190
10459,9,111
10461,9,330
10469,9,273
10471,9,465
10479,9,644
10481,9,1079
10489,9,1018
10499,9,669
10501,9,466
10519,9,1373
10599,9,2413
10651,9,1886
10659,9,445
11009,9,4595
11019,9,2946
11021,9,1920
11029,9,5202
11031,9,1004
11039,9,1051
11041,9,1357
11049,9,1180
11051,9,2384
11059,9,4856
11061,9,651
11069,9,211
11071,9,1914
11079,9,929
11081,9,345
11089,9,486
11091,9,658
11099,9,566
11101,9,2454
11109,9,1646
11111,9,2930
11119,9,3934
11131,9,410
11139,9,805
11141,9,4269
11149,9,4371
11151,9,1526
11159,9,880
11161,9,9230
11169,9,18184
11171,9,1316
11179,9,3445
11181,9,3517
11189,9,6516
11191,9,1105
11199,9,1959
11201,9,255
11209,9,914
11211,9,110
11219,9,241
11221,9,586
11229,9,436
11231,9,638
11239,9,681
11259,9,255
11261,9,1995
11269,9,1394
11271,9,338
11279,9,310
11281,9,64
11289,9,183
11291,9,566
11299,9,541
11301,9,170
11309,9,134
11311,9,81
11319,9,172
11321,9,113
11329,9,255
11331,9,248
11339,9,172
11341,9,640
11349,9,694
11351,9,798
11359,9,374
11361,9,5916
11369,9,10067
11379,9,496
11381,9,2212
11389,9,1773
11401,9,2441
11409,9,1113
11419,9,2711
11429,9,490
11439,9,1642
11441,9,318
11449,9,731
11451,9,291
11459,9,490
11469,9,52
11471,9,294
11479,9,47
11481,9,297
11489,9,138
11491,9,369
11499,9,288
11511,9,2926
11519,9,8819
11521,9,1734
11529,9,2211
11531,9,342
11539,9,651
11541,9,64
11551,9,289
11561,9,90
11579,9,451
11589,9,406
11599,9,294
11609,9,157
12021,9,336
12029,9,589
12031,9,1555
12039,9,709
12041,9,604
12049,9,547
12051,9,844
12059,9,461
12061,9,1958
12069,9,1150
12071,9,957
12079,9,1419
12081,9,198
12089,9,176
12091,9,2535
12099,9,4103
12101,9,5002
12109,9,5827
12111,9,466
12119,9,556
12121,9,1847
12129,9,1470
12131,9,248
12139,9,205
12141,9,190
12149,9,250
12151,9,100
12169,9,364
