,BusStopCode,RoadName,Description,Latitude,Longitude
2489,55329,Ang Mo Kio Ave 8,Nanyang Poly,1.37901970079676,103.84722527828754
2490,55331,Lentor Loop,Aft Lentor Gr,1.38692246241021,103.8371410383723
2491,55339,Lentor Loop,Aft Florissa Pk,1.38708225951205,103.83711644936153
2492,55341,Lentor Dr,Opp Thomson Gr,1.38498581592741,103.83669949504181
2493,55349,Lentor Dr,Thomson Gr,1.38479144169995,103.8364930927339
2494,55351,Lentor Rd,Opp Fudu Wk P/G,1.3897367880855,103.83696395007934
2495,55361,Lentor Loop,Countryside Gdn P/G,1.38983685641152,103.83860500061255
2496,55371,Lentor Loop,Aft Lentor St,1.388614367271,103.83440450730951
2497,55381,Lentor Loop,Bef Bullion Pk,1.3899041699795,103.83624640000222
2498,55509,Ang Mo Kio Ave 8,Yio Chu Kang Int,1.38113241525166,103.8455558816965
2499,56019,Upp Thomson Rd,Bef Ang Mo Kio Ave 1,1.36949553492338,103.82862910254734
2500,56021,Upp Thomson Rd,Opp S'wang Hill FC,1.37242858974896,103.82842917358784
2501,56029,Upp Thomson Rd,Bef Sembawang Hill FC,1.37359500001635,103.82870000002058
2502,56031,Upp Thomson Rd,Bef Yio Chu Kang Rd,1.37695666700099,103.82822527799023
2503,56039,Upp Thomson Rd,Aft Yio Chu Kang Rd,1.37673055602474,103.82848388900504
2504,56041,Upp Thomson Rd,Opp Meadows @ Peirce,1.37916166696569,103.8275777780206
2505,56049,Upp Thomson Rd,Meadows @ Peirce,1.37945638898658,103.82768833298778
2506,56051,Upp Thomson Rd,Opp Tagore Rd,1.38249472962714,103.82576395474278
2507,56059,Upp Thomson Rd,Bef Tagore Rd,1.38268805765919,103.82604547355085
2508,56061,Upp Thomson Rd,Aft Tagore Dr,1.38514751918468,103.82287451682392
2509,56069,Upp Thomson Rd,Bef Tagore Dr,1.38530499508514,103.82320879865532
2510,56071,Upp Thomson Rd,Bef Old Upp Thomson Rd,1.38717744383548,103.81964816646843
2511,56079,Upp Thomson Rd,Aft Old Upp Thomson Rd,1.38756640996273,103.81959791299872
2512,56081,Upp Thomson Rd,Bef SLE,1.39169796746844,103.81821308362592
2513,56089,Upp Thomson Rd,Aft SLE,1.39205091187219,103.81861107436661
2514,56091,Upp Thomson Rd,Bef Springleaf Rd,1.39634526567884,103.81841168654944
2515,56099,Upp Thomson Rd,Aft Springleaf Rd,1.39606817759915,103.8188299218487
2516,56191,Yio Chu Kang Rd,Opp NPB Serangoon Depot,1.37879833302094,103.82944083302411
2517,56199,Yio Chu Kang Rd,NPB Serangoon Depot,1.37892333298882,103.83003638899949
2518,56201,Yio Chu Kang Rd,Aft Munshi Abdullah Ave,1.38059381566563,103.83224759401025
2519,56209,Yio Chu Kang Rd,Bef Thomson Hills Dr,1.38031863295854,103.83240305645302
2520,56241,Ang Mo Kio Ave 2,St. Nicholas Girls',1.37199166697877,103.83320833301671
2521,56249,Ang Mo Kio Ave 2,Opp St. Nicholas Girls',1.37295831920319,103.83301111771881
2522,56251,Ang Mo Kio Ave 2,Opp Horizon Gdns,1.37637472203353,103.8344186109838
2523,56259,Ang Mo Kio Ave 2,Horizon Gdns,1.376844443968,103.83484027799092
2524,56261,Ang Mo Kio Ave 1,AFT Ang mo kio avenue 2,1.36786219023986,103.83172738576756
2525,56269,Ang Mo Kio Ave 1,BEF Ang mo kio avenue 2,1.36741835425889,103.83233403239235
2526,56289,Ang Mo Kio Ave 2,Bef Shangri-La Wk,1.37023167757252,103.83232655288832
2527,57011,Upp Thomson Rd,Opp Springleaf Nature Pk,1.40015725353057,103.81717214668784
2528,57019,Upp Thomson Rd,Springleaf Nature Pk,1.40056260892652,103.81734465881833
2529,57021,Sembawang Rd,Forest Hills Condo,1.40414074099185,103.81834244198308
2530,57029,Sembawang Rd,Aft The Springside,1.40396290628178,103.81862261343507
2531,57031,Sembawang Rd,Nee Soon Driclad Ctr,1.40705411971506,103.82012256385369
2532,57039,Sembawang Rd,SPIRITUAL GRACE PRESBY CH,1.40611750000192,103.8199872220186
2533,57041,Sembawang Rd,Nee Soon HQ 22 SIB,1.41069268256433,103.82192312004506
2534,57049,Sembawang Rd,Opp Nee Soon HQ 22 SIB,1.41082027802703,103.82233527798766
2535,57051,Sembawang Rd,Aft Sembawang Air Base,1.41527125453225,103.82337367876173
2536,57059,Sembawang Rd,Opp Sembawang Air Base,1.41472777811863,103.82356549744377
2537,57061,Sembawang Rd,Dieppe Barracks,1.41996142296204,103.82452638790889
2538,57069,Sembawang Rd,Opp Dieppe Barracks,1.4189659270404,103.82460551333597
2539,57071,Sembawang Rd,Opp Khatib Camp,1.42501608069549,103.82550580503441
2540,57079,Sembawang Rd,Khatib Camp,1.42443860227619,103.82566793061787
2541,57081,Sembawang Rd,Opp Blk 713,1.42753611101756,103.82655472202663
2542,57089,Sembawang Rd,Blk 713,1.42740500891774,103.82685672676006
2543,57111,Sembawang Rd,Opp Blk 101,1.43123622644607,103.82654938929034
2544,57119,Sembawang Rd,Blk 101,1.43130257113028,103.82688773076856
2545,57121,Sembawang Rd,Opp Blk 115B,1.43345083292583,103.82631132424072
2546,57129,Sembawang Rd,Blk 114,1.43418656873084,103.82641445936885
2547,57131,Sembawang Rd,Opp Jln Kemuning,1.43808413802489,103.82529753316932
2548,57139,Sembawang Rd,Aft Jln Kemuning,1.43795662145081,103.8255962797174
2549,57141,Mandai Rd,Bef Upp Thomson Rd,1.40248255094729,103.8169622653191
2550,57149,Mandai Rd,Aft Upp Thomson Rd,1.40236816337763,103.81689548453724
2551,58009,Sembawang Vista,Sembawang Int,1.44748179252514,103.81941391689068
2552,58011,Sembawang Rd,Opp Sembawang Shop Ctr,1.44135611418225,103.82418746836298
2553,58019,Sembawang Rd,Aft Sembawang Shop Ctr,1.44085108816637,103.82473001883042
2554,58021,Sembawang Rd,Bef Canberra Rd,1.44324136994568,103.82367863032862
