TOTAL_TRIPS,BusStopCode,type,Description,Latitude,Longitude
657,10009,origin,Bt Merah Int,1.28210155945393,103.81722480263163
32,10017,origin,Aft Hosp Dr,1.27832046633393,103.83762574759974
12,10049,origin,OPP KAMPONG BAHRU TER,1.27623302424393,103.83483786772155
90,10101,origin,OPP BT MERAH SEC SCH,1.28506195168861,103.8137833011436
155,10111,origin,Opp Blk 28,1.28592835098556,103.80935410958449
265,10131,origin,Opp Blk 2,1.28619141382394,103.80686549059318
95,10499,origin,KAMPONG BAHRU TER,1.27585400417691,103.83401000002084
62,10659,origin,Blk 1003,1.28362333298689,103.81472833301791
262,11021,origin,Aft Queenstown NPC HQ,1.28941805603102,103.80228694398484
23,11031,origin,Opp Queen's Cl,1.29119666696879,103.80045500000118
37,11041,origin,Aft C'wealth Dr,1.29624499998226,103.79952333299494
117,11051,origin,Opp Queenstown Polyclinic,1.29872166703909,103.8002979755481
7,11091,origin,Tulip Gdn,1.31219444050072,103.80367378215983
69,11101,origin,Farrer Rd Mkt,1.31614971080385,103.80596012189226
48,11111,origin,Farrer Rd Stn Exit B,1.31780157259006,103.80771866952543
326,11161,origin,C'Wealth Stn Exit A/D,1.30213305598263,103.79839083302141
80,11171,origin,Opp Blk 7B,1.30535666699303,103.79479722196947
122,11181,origin,Opp Blk 43,1.30722333300814,103.79227638896938
12,11201,origin,CSC Dempsey Clubhse,1.30692642897557,103.81186453577433
23,11211,origin,Aft Peirce Rd,1.30838779885113,103.80939522851014
6,11221,origin,Lien Twrs,1.31002225322358,103.80544413357042
269,11369,origin,Buona Vista Stn Exit D,1.3063259638605,103.79084827741467
85,12069,origin,Opp Blk 109A,1.321433056,103.7710419
47,12079,origin,Opp Blk 116,1.32383187575187,103.77263094375739
48,12089,origin,Opp Maju Camp,1.326261111,103.7757089
285,12099,origin,Opp SIM HQ,1.327838056,103.7767036
586,12109,origin,Opp Ngee Ann Poly,1.330819444,103.7780086
71,13011,origin,Opp S'pore Botanic Gdns,1.30634849184404,103.81983822614549
29,13021,origin,Aft Min Of Foreign Affairs,1.30633972996805,103.81430670816292
18,14061,origin,Opp Former Railway Stn,1.27231269789239,103.83862035734883
3,14071,origin,Keppel Workshop,1.27220342411953,103.8339025862589
1,14081,origin,Tg Pagar DP Blk F5,1.27067760623796,103.83061367871179
31,14101,origin,Opp Keppel DP Blk 517,1.26837500002503,103.82825805600972
583,14121,origin,Harbourfront Stn Exit B,1.26591350024271,103.81925660621779
34,14131,origin,Caribbean at Keppel Bay,1.26740130257465,103.81675441150337
1374,14141,origin,VivoCity,1.26552421466644,103.82211326846237
78,14151,origin,Opp Chr Community Chapel,1.26964765905364,103.8129359412343
180,14161,origin,Telok Blangah Stn,1.27075866533548,103.81009913005327
17,14171,origin,Opp Yeo's Bldg,1.27145959833005,103.80654857059398
52,15141,origin,Labrador Pk Stn,1.27275860463579,103.80095947823813
113,15151,origin,Opp Mapletree Biz City,1.27389192906939,103.79822208982421
190,15161,origin,Pasir Panjang Ctr,1.27443806198132,103.79666055940478
205,15191,origin,Pasir Panjang Stn/Fc,1.27581227029734,103.79263571257981
16,15201,origin,Aft Pasir Panjang Stn,1.27680819120105,103.78970861437152
38,15221,origin,Aft Sth Buona Vista Rd,1.27949923466491,103.78548955401584
246,16011,origin,Opp Haw Par Villa Stn,1.28277766355314,103.78186930413443
20,16021,origin,Opp Gloria Man,1.28625793147796,103.77981027693801
45,16031,origin,Opp S'pore Science Pk II,1.28800629048399,103.77846479413628
108,16041,origin,OPP LUXE VILLE,1.2893086506189,103.77660095143266
36,16051,origin,The Crystal Tabernacle Ch,1.29014861601908,103.77426036615236
160,16061,origin,Opp Heng Mui Keng Terr,1.29046257201356,103.77356171611027
16,16071,origin,Opp Pasir Panjang PO,1.29129940835907,103.77117221155989
171,16081,origin,Aft Palm Green Condo,1.29195777797363,103.76866138900287
328,16091,origin,Opp SIT Dover,1.29939666697351,103.7792311110139
27,16201,origin,Barossa Gdns,1.28130063164133,103.78410758834183
79,17011,origin,Opp Varsity Pk,1.29386900823232,103.76688187253777
117,17021,origin,Waseda S Snr High Sch,1.29673702633957,103.76691201794645
90,17031,origin,Kent Ridge Sec Sch,1.30172305827699,103.76567633935802
1174,17041,origin,Blk 726 Clementi West Mkt,1.3042101570614,103.76455953939507
51,17051,origin,Opp Regent Pk,1.31726409983754,103.76240145648879
533,17061,origin,Blk 701,1.30775834752765,103.76180505768346
485,17071,origin,Blk 513,1.30891781912545,103.76044433406533
109,17109,origin,Opp Blk 352,1.31552714122807,103.77218311911328
32,17119,origin,Opp Blk 343,1.31728446989719,103.77193266319905
271,17121,origin,Blk 610,1.30476410258543,103.76944539352431
