BusStopCode,TIME_PER_HOUR,TOTAL_TRIPS
10009,6,8744
10011,6,1682
10017,6,1968
10018,6,3283
10021,6,675
10041,6,2819
10049,6,1432
10051,6,741
10059,6,1119
10061,6,729
10069,6,654
10071,6,3667
10079,6,3002
10081,6,1428
10089,6,2039
10091,6,1860
10099,6,1922
10101,6,711
10109,6,403
10111,6,1785
10119,6,1372
10121,6,449
10129,6,1379
10131,6,2021
10139,6,3221
10141,6,1462
10149,6,2163
10151,6,1033
10161,6,6142
10169,6,9923
10171,6,352
10179,6,507
10181,6,1166
10189,6,860
10191,6,2238
10199,6,1278
10201,6,4223
10209,6,3599
10211,6,71
10219,6,47
10221,6,189
10229,6,155
10231,6,1043
10239,6,460
10241,6,319
10249,6,213
10261,6,312
10269,6,82
10271,6,289
10279,6,94
10281,6,709
10289,6,248
10291,6,1546
10299,6,2618
10321,6,396
10329,6,234
10331,6,440
10339,6,1450
10341,6,1069
10349,6,1591
10351,6,688
10359,6,264
10361,6,1197
10369,6,1445
10371,6,2295
10379,6,661
10381,6,786
10389,6,957
10391,6,733
10399,6,855
10401,6,282
10409,6,62
10411,6,36
10419,6,48
10421,6,800
10429,6,127
10431,6,184
10439,6,125
10441,6,123
10449,6,231
10451,6,103
10459,6,4
10461,6,89
10469,6,82
10471,6,67
10479,6,77
10481,6,190
10489,6,363
10499,6,331
10501,6,530
10519,6,611
10599,6,1195
10651,6,588
10659,6,164
11009,6,2634
11019,6,1442
11021,6,1459
11029,6,2840
11031,6,913
11039,6,634
11041,6,997
11049,6,790
11051,6,1411
11059,6,2048
11061,6,516
11069,6,91
11071,6,1368
11079,6,592
11081,6,115
11089,6,210
11091,6,325
11099,6,317
11101,6,1548
11109,6,952
11111,6,1526
11119,6,1834
11131,6,428
11139,6,300
11141,6,2026
11149,6,1991
11151,6,520
11159,6,430
11161,6,5352
11169,6,10206
11171,6,354
11179,6,2449
11181,6,2335
11189,6,3856
11191,6,712
11199,6,1141
11201,6,59
11209,6,269
11211,6,92
11219,6,204
11221,6,64
11229,6,245
11231,6,342
11239,6,450
11259,6,71
11261,6,639
11269,6,556
11271,6,135
11279,6,201
11281,6,67
11289,6,83
11291,6,238
11299,6,300
11301,6,32
11309,6,62
11311,6,22
11319,6,60
11321,6,46
11329,6,89
11331,6,116
11339,6,58
11341,6,140
11349,6,245
11351,6,106
11359,6,256
11361,6,3059
11369,6,5374
11379,6,352
11381,6,1535
11389,6,542
11401,6,1181
11409,6,545
11419,6,744
11429,6,498
11439,6,1376
11441,6,139
11449,6,391
11451,6,104
11459,6,233
11469,6,3
11471,6,114
11479,6,42
11481,6,65
11489,6,40
11491,6,176
11499,6,119
11511,6,1640
11519,6,3547
11521,6,478
11529,6,637
11531,6,202
11539,6,600
11541,6,7
11551,6,77
11561,6,57
11579,6,276
11589,6,142
11599,6,193
11609,6,64
12021,6,187
12029,6,389
12031,6,482
12039,6,393
12041,6,199
12049,6,386
12051,6,225
12059,6,159
12061,6,753
12069,6,628
12071,6,332
12079,6,659
12081,6,355
12089,6,439
12091,6,949
12099,6,1077
12101,6,1313
12109,6,1907
12111,6,87
12119,6,293
12121,6,665
12129,6,665
12131,6,154
12139,6,51
12141,6,97
12149,6,54
12151,6,8
12169,6,107
12179,6,208
12189,6,70
12199,6,61
12201,6,1659
12209,6,993
12211,6,32
13011,6,851
13019,6,2355
13021,6,27
13029,6,409
13031,6,268
13039,6,108
13041,6,152
13049,6,31
13051,6,925
13059,6,387
13062,6,176
13063,6,259
13069,6,428
13071,6,326
13079,6,181
13081,6,430
13089,6,282
13091,6,438
13099,6,267
13101,6,479
13109,6,375
13119,6,565
13121,6,760
13139,6,507
13141,6,389
13159,6,463
13169,6,24
13171,6,53
13179,6,34
13181,6,11
13189,6,77
13191,6,646
13199,6,395
13201,6,434
13209,6,11
14009,6,3962
14011,6,64
14019,6,344
14021,6,168
14029,6,1398
14031,6,2036
14039,6,858
14041,6,947
14049,6,1043
14051,6,463
14059,6,996
14061,6,143
14069,6,592
14071,6,173
14081,6,29
14089,6,35
14101,6,134
14109,6,274
14119,6,1239
14121,6,2277
14129,6,5805
14131,6,451
14139,6,1765
14141,6,6016
14151,6,628
14159,6,931
14161,6,3884
14169,6,1744
14171,6,299
14179,6,212
14189,6,293
14191,6,1356
14199,6,968
14201,6,1092
14209,6,620
14211,6,279
14219,6,1053
14221,6,402
14229,6,379
14231,6,705
14239,6,971
14241,6,3039
14249,6,1983
14259,6,860
14269,6,1034
14271,6,585
14279,6,2092
14281,6,1787
14291,6,1386
14299,6,496
14309,6,657
14319,6,336
14329,6,661
14331,6,466
14339,6,431
14341,6,316
14349,6,256
14351,6,42
14359,6,389
14369,6,731
14379,6,1285
14381,6,2210
14389,6,1303
14391,6,503
14399,6,630
14471,6,486
14489,6,447
14491,6,412
14499,6,290
14501,6,388
14509,6,286
14519,6,753
14521,6,22
14529,6,4
14539,6,108
15041,6,1668
15049,6,2897
15051,6,897
15059,6,2578
15071,6,114
15079,6,27
15091,6,35
15099,6,114
15111,6,36
15119,6,113
15121,6,16
15129,6,170
15131,6,77
15139,6,1366
15141,6,622
15149,6,425
15151,6,1263
15159,6,1118
15161,6,2090
15169,6,3360
15181,6,132
15189,6,2
15191,6,2443
15199,6,2856
15201,6,88
15209,6,2129
15211,6,56
15219,6,222
15221,6,487
15229,6,461
16009,6,1159
16011,6,1471
16019,6,3376
16021,6,104
16029,6,197
16031,6,435
16039,6,230
16041,6,577
16049,6,2047
16051,6,255
16059,6,463
16061,6,461
16069,6,1229
16071,6,77
16079,6,603
16081,6,247
16089,6,798
16091,6,262
16099,6,1036
16101,6,227
16109,6,27
16111,6,856
16119,6,9
16121,6,720
16131,6,48
16139,6,494
16141,6,143
16149,6,813
16151,6,192
16159,6,970
16161,6,158
16169,6,183
16171,6,281
16179,6,251
16181,6,701
16189,6,252
16191,6,12
16199,6,69
16201,6,196
16209,6,70
16221,6,415
16229,6,888
16231,6,950
16239,6,2509
16241,6,21
16249,6,107
16891,6,543
16991,6,506
17009,6,19599
17011,6,135
17019,6,376
17021,6,328
17029,6,360
17031,6,455
17039,6,435
17041,6,5312
17049,6,5428
17051,6,532
17059,6,532
17061,6,2734
17069,6,4110
17071,6,1047
17079,6,2722
17081,6,33
17091,6,229
17099,6,1127
17101,6,628
17109,6,503
17111,6,631
17119,6,387
17121,6,1131
17129,6,1594
17131,6,145
17139,6,369
17141,6,379
17149,6,917
17151,6,3491
17159,6,5503
17161,6,3414
17169,6,1033
17171,6,21260
17179,6,25037
17181,6,880
17189,6,1760
17191,6,821
17201,6,3143
