PATH,TOTAL_TRIPS,ORIGIN_PT_CODE,DESTINATION_PT_CODE
84031/84061,29734,84031,84061
52009/52071,29723,52071,52009
22009/22239,29706,22239,22009
58539/59079,29695,59079,58539
17159/19039,29655,17159,19039
84069/85099,29648,85099,84069
65009/65391,29608,65009,65391
66009/66271,29309,66009,66271
75009/75081,29294,75081,75009
22009/27131,29265,22009,27131
22009/27409,29257,22009,27409
46769/46779,29126,46779,46769
77009/78119,28797,77009,78119
46009/46079,28770,46079,46009
59439/59569,28634,59439,59569
59073/75009,28626,59073,75009
45321/45439,28608,45321,45439
10009/10161,28543,10161,10009
22009/27399,28431,27399,22009
60121/60161,28421,60121,60161
46008/46439,28399,46439,46008
46009/46141,28361,46141,46009
46009/46441,28334,46009,46441
17171/20101,28314,17171,20101
44861/45009,28219,45009,44861
77009/77209,28185,77209,77009
77009/78071,28080,77009,78071
22009/22511,27974,22009,22511
46521/46531,27956,46521,46531
53009/53271,27948,53271,53009
53009/53341,27866,53009,53341
65009/65289,27821,65289,65009
64009/64059,27805,64059,64009
22009/27091,27790,22009,27091
81129/92049,27724,92049,81129
84369/84451,27705,84369,84451
22009/28519,27702,22009,28519
54009/54371,27592,54371,54009
59009/59591,27556,59009,59591
17049/17179,27481,17179,17049
84031/84249,27466,84031,84249
22009/27391,27460,22009,27391
61039/70059,27446,61039,70059
84009/84421,27434,84421,84009
52009/52279,27433,52279,52009
46391/46771,27328,46391,46771
21601/28091,27292,21601,28091
52009/52131,27283,52009,52131
46009/46171,27261,46171,46009
75009/75161,27186,75009,75161
28009/28679,27131,28679,28009
53231/54379,27124,54379,53231
58119/58161,27113,58161,58119
81111/81211,26903,81211,81111
75009/75141,26892,75141,75009
50171/52009,26829,52009,50171
65009/65539,26700,65539,65009
54261/54291,26699,54261,54291
52009/52399,26665,52009,52399
54009/54239,26626,54009,54239
44021/45061,26579,44021,45061
43009/43181,26563,43181,43009
46009/46979,26518,46979,46009
46009/67401,26507,67401,46009
59009/59171,26475,59171,59009
66051/66359,26449,66051,66359
59159/59211,26368,59211,59159
59159/59219,26234,59159,59219
22009/27351,26231,22009,27351
44029/45069,26207,45069,44029
59009/59209,26180,59009,59209
45139/46039,26167,46039,45139
65009/65269,26088,65269,65009
21399/22009,26085,22009,21399
59009/59181,26064,59181,59009
84031/84041,26042,84031,84041
77009/78111,26028,78111,77009
84009/84449,26016,84009,84449
59009/59641,25980,59641,59009
60269/61101,25961,61101,60269
59561/59711,25961,59561,59711
22009/22249,25961,22249,22009
53009/53351,25954,53009,53351
46009/65199,25919,46009,65199
59072/59191,25890,59191,59072
21431/22009,25779,22009,21431
59009/59249,25758,59249,59009
19019/19039,25737,19039,19019
19011/19031,25707,19011,19031
44691/45009,25703,45009,44691
52009/52391,25642,52391,52009
52009/52089,25615,52089,52009
75009/76369,25591,75009,76369
84009/84219,25581,84219,84009
46008/46449,25501,46449,46008
46008/46071,25497,46008,46071
53009/53279,25318,53009,53279
66351/66481,25241,66351,66481
67009/67231,25201,67009,67231
10161/10349,25148,10161,10349
84009/84411,25146,84411,84009
25421/26269,25119,25421,26269
75009/75261,25062,75009,75261
54009/54289,25049,54289,54009
22009/27369,25033,22009,27369
22009/27439,24952,22009,27439
46009/46411,24948,46009,46411
45061/45131,24933,45061,45131
59119/59159,24911,59119,59159
46521/46541,24865,46521,46541
17079/17171,24822,17079,17171
75009/76421,24819,75009,76421
46779/46859,24727,46779,46859
81111/82032,24682,81111,82032
54009/54311,24634,54311,54009
10169/10361,24566,10361,10169
22529/27309,24546,27309,22529
52009/52319,24540,52319,52009
46069/46519,24501,46519,46069
52009/52291,24494,52009,52291
84009/84541,24483,84541,84009
54269/54299,24364,54299,54269
46008/46419,24278,46419,46008
22521/27271,24265,22521,27271
54009/54019,24244,54009,54019
21441/22009,24244,22009,21441
46671/46779,24230,46671,46779
53231/53399,24205,53399,53231
