BusStopCode,TIME_PER_HOUR,TOTAL_TRIPS
10009,22,6021
10011,22,939
10017,22,1329
10018,22,1493
10021,22,257
10041,22,2135
10049,22,1993
10051,22,773
10059,22,284
10061,22,657
10069,22,398
10071,22,2682
10079,22,2492
10081,22,1084
10089,22,1524
10091,22,1943
10099,22,1134
10101,22,627
10109,22,165
10111,22,1610
10119,22,725
10121,22,1973
10129,22,559
10131,22,1603
10139,22,1693
10141,22,1163
10149,22,1830
10151,22,1062
10161,22,11285
10169,22,8942
10171,22,410
10179,22,232
10181,22,883
10189,22,1436
10191,22,909
10199,22,670
10201,22,3156
10209,22,4411
10211,22,9
10219,22,16
10221,22,254
10229,22,118
10231,22,594
10239,22,1036
10241,22,198
10249,22,115
10261,22,252
10269,22,86
10271,22,219
10279,22,209
10281,22,510
10289,22,221
10291,22,2413
10299,22,2029
10321,22,202
10329,22,337
10331,22,153
10339,22,279
10341,22,883
10349,22,1650
10351,22,519
10359,22,541
10361,22,1385
10369,22,1251
10371,22,1265
10379,22,1854
10381,22,885
10389,22,787
10391,22,798
10399,22,367
10401,22,57
10409,22,294
10411,22,14
10419,22,89
10421,22,251
10429,22,300
10431,22,125
10439,22,140
10441,22,108
10449,22,133
10451,22,47
10459,22,123
10461,22,34
10469,22,120
10471,22,31
10479,22,26
10481,22,404
10489,22,118
10499,22,420
10501,22,228
10519,22,422
10599,22,1241
10651,22,200
10659,22,184
11009,22,1764
11019,22,1412
11021,22,2797
11029,22,1632
11031,22,489
11039,22,612
11041,22,1017
11049,22,803
11051,22,1230
11059,22,1095
11061,22,481
11069,22,124
11071,22,1445
11079,22,995
11081,22,132
11089,22,158
11091,22,261
11099,22,264
11101,22,592
11109,22,457
11111,22,1519
11119,22,1446
11131,22,437
11139,22,293
11141,22,3231
11149,22,1537
11151,22,839
11159,22,387
11161,22,7016
11169,22,5087
11171,22,1266
11179,22,1172
11181,22,1729
11189,22,1460
11191,22,1086
11199,22,648
11201,22,948
11209,22,290
11211,22,442
11219,22,67
11221,22,169
11229,22,134
11231,22,306
11239,22,211
11259,22,240
11261,22,2963
11269,22,612
11271,22,142
11279,22,84
11281,22,66
11289,22,42
11291,22,672
11299,22,181
11301,22,63
11309,22,45
11311,22,30
11319,22,63
11321,22,59
11329,22,98
11331,22,109
11339,22,54
11341,22,221
11349,22,306
11351,22,414
11359,22,39
11361,22,2932
11369,22,2929
11379,22,111
11381,22,305
11389,22,1190
11401,22,1535
11409,22,634
11419,22,1933
11429,22,134
11439,22,738
11441,22,495
11449,22,525
11451,22,237
