PATH,TOTAL_TRIPS,ORIGIN_PT_CODE,DESTINATION_PT_CODE
22009/22511,27974,22009,22511
46521/46531,27956,46521,46531
53271/53009,27948,53271,53009
53009/53341,27866,53009,53341
65289/65009,27821,65289,65009
64059/64009,27805,64059,64009
22009/27091,27790,22009,27091
92049/81129,27724,92049,81129
84369/84451,27705,84369,84451
22009/28519,27702,22009,28519
54371/54009,27592,54371,54009
59009/59591,27556,59009,59591
17179/17049,27481,17179,17049
84031/84249,27466,84031,84249
22009/27391,27460,22009,27391
61039/70059,27446,61039,70059
84421/84009,27434,84421,84009
52279/52009,27433,52279,52009
46391/46771,27328,46391,46771
21601/28091,27292,21601,28091
52009/52131,27283,52009,52131
46171/46009,27261,46171,46009
75009/75161,27186,75009,75161
28679/28009,27131,28679,28009
54379/53231,27124,54379,53231
58161/58119,27113,58161,58119
81211/81111,26903,81211,81111
75141/75009,26892,75141,75009
52009/50171,26829,52009,50171
65539/65009,26700,65539,65009
54261/54291,26699,54261,54291
52009/52399,26665,52009,52399
54009/54239,26626,54009,54239
44021/45061,26579,44021,45061
43181/43009,26563,43181,43009
46979/46009,26518,46979,46009
67401/46009,26507,67401,46009
59171/59009,26475,59171,59009
66051/66359,26449,66051,66359
59211/59159,26368,59211,59159
59159/59219,26234,59159,59219
22009/27351,26231,22009,27351
45069/44029,26207,45069,44029
59009/59209,26180,59009,59209
46039/45139,26167,46039,45139
65269/65009,26088,65269,65009
22009/21399,26085,22009,21399
59181/59009,26064,59181,59009
84031/84041,26042,84031,84041
78111/77009,26028,78111,77009
84009/84449,26016,84009,84449
59641/59009,25980,59641,59009
61101/60269,25961,61101,60269
59561/59711,25961,59561,59711
22249/22009,25961,22249,22009
53009/53351,25954,53009,53351
46009/65199,25919,46009,65199
59191/59072,25890,59191,59072
22009/21431,25779,22009,21431
59249/59009,25758,59249,59009
19039/19019,25737,19039,19019
19011/19031,25707,19011,19031
45009/44691,25703,45009,44691
52391/52009,25642,52391,52009
52089/52009,25615,52089,52009
75009/76369,25591,75009,76369
84219/84009,25581,84219,84009
46449/46008,25501,46449,46008
46008/46071,25497,46008,46071
53009/53279,25318,53009,53279
66351/66481,25241,66351,66481
67009/67231,25201,67009,67231
10161/10349,25148,10161,10349
84411/84009,25146,84411,84009
25421/26269,25119,25421,26269
75009/75261,25062,75009,75261
54289/54009,25049,54289,54009
22009/27369,25033,22009,27369
22009/27439,24952,22009,27439
46009/46411,24948,46009,46411
45061/45131,24933,45061,45131
59119/59159,24911,59119,59159
46521/46541,24865,46521,46541
17079/17171,24822,17079,17171
75009/76421,24819,75009,76421
46779/46859,24727,46779,46859
81111/82032,24682,81111,82032
54311/54009,24634,54311,54009
10361/10169,24566,10361,10169
27309/22529,24546,27309,22529
52319/52009,24540,52319,52009
46519/46069,24501,46519,46069
52009/52291,24494,52009,52291
84541/84009,24483,84541,84009
54299/54269,24364,54299,54269
46419/46008,24278,46419,46008
22521/27271,24265,22521,27271
54009/54019,24244,54009,54019
22009/21441,24244,22009,21441
46671/46779,24230,46671,46779
53399/53231,24205,53399,53231
59761/59569,24182,59761,59569
11521/10209,24156,11521,10209
81111/82119,24145,81111,82119
54231/54009,24043,54231,54009
28099/28391,24038,28099,28391
22009/22341,24010,22009,22341
82049/81129,23995,82049,81129
67409/67389,23990,67409,67389
11179/11169,23986,11179,11169
28009/28501,23960,28009,28501
19031/17151,23895,19031,17151
54389/53231,23895,54389,53231
59091/59219,23852,59091,59219
54189/54009,23849,54189,54009
58539/58211,23826,58539,58211
67379/67009,23818,67379,67009
46851/46779,23787,46851,46779
42311/43009,23786,42311,43009
44009/45311,23783,44009,45311
21581/28091,23686,21581,28091
46009/65069,23632,46009,65069
27401/22009,23627,27401,22009
66369/66389,23527,66369,66389
84539/84361,23490,84539,84361
46009/46791,23477,46009,46791
60121/60141,23444,60121,60141
46521/46009,23437,46521,46009
17009/17211,23419,17009,17211
59561/59571,23397,59561,59571
84351/84009,23372,84351,84009
65199/75009,23248,65199,75009
54009/54219,23226,54009,54219
17009/17061,23213,17009,17061
59349/59671,23210,59349,59671
10299/10209,23199,10299,10209
28009/28641,23113,28009,28641
14029/14141,23042,14029,14141
84009/84381,23021,84009,84381
65439/65009,22987,65439,65009
12091/42059,22971,12091,42059
59459/59009,22913,59459,59009
96219/85099,22882,96219,85099
60161/60261,22854,60161,60261
66351/64111,22852,66351,64111
28009/28311,22772,28009,28311
45261/45321,22770,45261,45321
66359/63299,22735,66359,63299
84009/84419,22642,84009,84419
47521/46009,22579,47521,46009
44689/44009,22491,44689,44009
28319/28009,22428,28319,28009
22009/27459,22405,22009,27459
46399/46009,22403,46399,46009
22009/21371,22385,22009,21371
21431/28099,22282,21431,28099
52381/52009,22252,52381,52009
95109/65191,22181,95109,65191
45401/45329,22164,45401,45329
63291/66351,22157,63291,66351
27279/22009,22142,27279,22009
10161/10369,22139,10161,10369
22009/27411,22132,22009,27411
81111/82099,22126,81111,82099
75009/65191,22112,75009,65191
77009/78221,22102,77009,78221
53009/53371,22091,53009,53371
22359/22009,22084,22359,22009
59009/59179,22006,59009,59179
64579/67609,21977,64579,67609
28511/22009,21947,28511,22009
60261/61101,21935,60261,61101
77009/78081,21906,77009,78081
46009/46391,21833,46009,46391
54261/54271,21791,54261,54271
22519/22009,21778,22519,22009
66429/66359,21761,66429,66359
44261/46009,21714,44261,46009
78089/77009,21656,78089,77009
65191/46009,21636,65191,46009
59009/59409,21598,59009,59409
28339/28009,21555,28339,28009
75009/76279,21546,75009,76279
75009/98301,21543,75009,98301
52009/52151,21543,52009,52151
59561/59449,21499,59561,59449
10371/10169,21484,10371,10169
84031/84239,21479,84031,84239
66359/62229,21449,66359,62229
59409/59009,21428,59409,59009
46771/46831,21385,46771,46831
75009/59041,21348,75009,59041
54009/54329,21339,54009,54329
46429/46008,21336,46429,46008
59419/59569,21326,59419,59569
58361/58251,21323,58361,58251
52009/52081,21308,52009,52081
81099/81089,21256,81099,81089
46129/46521,21225,46129,46521
10129/10161,21189,10129,10161
75121/75009,21173,75121,75009
52429/52179,21171,52429,52179
22009/21599,21154,22009,21599
46009/44269,21142,46009,44269
22009/27301,21063,22009,27301
54261/54571,21047,54261,54571
59073/59341,20917,59073,59341
64119/66359,20906,64119,66359
27329/22529,20887,27329,22529
45009/30039,20805,45009,30039
46009/76191,20803,46009,76191
14381/10169,20757,14381,10169
67009/67171,20753,67009,67171
27211/22529,20742,27211,22529
59441/59569,20735,59441,59569
98309/75009,20701,98309,75009
43009/43499,20689,43009,43499
45009/44661,20672,45009,44661
28689/28009,20668,28689,28009
54261/54389,20649,54261,54389
66359/63309,20646,66359,63309
70019/81089,20603,70019,81089
46539/46529,20584,46539,46529
65061/46009,20569,65061,46009
44009/44571,20558,44009,44571
82221/82009,20524,82221,82009
65009/65261,20443,65009,65261
46761/46771,20428,46761,46771
59009/59451,20402,59009,59451
67009/65049,20393,67009,65049
84521/84201,20391,84521,84201
54321/54009,20370,54321,54009
48131/54009,20368,48131,54009
28671/17179,20312,28671,17179
54381/54009,20259,54381,54009
59009/59211,20257,59009,59211
50038/50089,20247,50038,50089
22529/22009,20245,22529,22009
46531/46009,20232,46531,46009
84361/84009,20224,84361,84009
46009/46421,20220,46009,46421
59009/59601,20219,59009,59601
54489/55509,20208,54489,55509
80069/80101,20081,80069,80101
17179/12091,20053,17179,12091
17171/17371,20050,17171,17371
46009/46471,20044,46009,46471
46279/46009,20016,46279,46009
25691/25771,20002,25691,25771
45009/44801,19984,45009,44801
66351/63361,19972,66351,63361
66009/64491,19962,66009,64491
55509/54481,19938,55509,54481
78079/77009,19932,78079,77009
65009/65281,19932,65009,65281
22009/22441,19895,22009,22441
58529/58211,19882,58529,58211
67611/67601,19858,67611,67601
77071/77009,19851,77071,77009
58341/58251,19847,58341,58251
77009/77211,19828,77009,77211
27199/22009,19790,27199,22009
46009/46549,19773,46009,46549
17009/17221,19697,17009,17221
59079/47619,19664,59079,47619
22009/27341,19625,22009,27341
14031/10169,19594,14031,10169
22009/27211,19590,22009,27211
59639/59569,19569,59639,59569
59601/59009,19562,59601,59009
52009/52451,19467,52009,52451
45131/46069,19451,45131,46069
44579/44009,19442,44579,44009
46779/46289,19434,46779,46289
43009/43331,19386,43009,43331
76189/75009,19378,76189,75009
96169/96291,19366,96169,96291
43841/43579,19364,43841,43579
52269/52009,19355,52269,52009
85091/96219,19355,85091,96219
44539/44399,19348,44539,44399
67119/67409,19344,67119,67409
53241/53231,19344,53241,53231
22009/27531,19314,22009,27531
54009/54229,19309,54009,54229
81089/80089,19281,81089,80089
46241/46009,19281,46241,46009
70051/61031,19270,70051,61031
50038/50019,19269,50038,50019
58409/58211,19233,58409,58211
44809/45009,19223,44809,45009
46009/46691,19192,46009,46691
82009/82049,19178,82009,82049
30031/44539,19151,30031,44539
95129/65191,19143,95129,65191
43009/43619,19106,43009,43619
44261/46521,19088,44261,46521
75009/75201,19042,75009,75201
59079/59251,19013,59079,59251
77291/77009,19000,77291,77009
65199/75359,18999,65199,75359
59381/59009,18999,59381,59009
28521/28091,18991,28521,28091
28459/28009,18974,28459,28009
76511/75009,18923,76511,75009
28009/28461,18922,28009,28461
63031/63349,18901,63031,63349
84209/84529,18874,84209,84529
77051/77031,18771,77051,77031
65191/65009,18750,65191,65009
11521/11141,18728,11521,11141
66351/64101,18715,66351,64101
43009/43179,18697,43009,43179
66339/54009,18680,66339,54009
46009/46671,18665,46009,46671
58521/59072,18661,58521,59072
84551/84009,18660,84551,84009
47039/46521,18623,47039,46521
22009/22351,18620,22009,22351
75009/76181,18539,75009,76181
59421/59711,18537,59421,59711
20109/17179,18526,20109,17179
64049/64009,18486,64049,64009
46008/46629,18475,46008,46629
21561/28091,18472,21561,28091
46009/47511,18462,46009,47511
22009/22011,18458,22009,22011
52361/52009,18443,52361,52009
59079/58261,18427,59079,58261
59009/59359,18427,59009,59359
52159/52009,18414,52159,52009
46009/46539,18405,46009,46539
75009/75149,18375,75009,75149
66009/66309,18341,66009,66309
43171/43009,18296,43171,43009
46989/46009,18282,46989,46009
66359/66421,18270,66359,66421
59009/59241,18258,59009,59241
43491/43579,18250,43491,43579
54199/54009,18241,54199,54009
66351/63211,18218,66351,63211
44281/44009,18218,44281,44009
59079/59261,18193,59079,59261
45301/44531,18167,45301,44531
59591/59009,18161,59591,59009
53009/54371,18145,53009,54371
17179/12101,18134,17179,12101
46009/46529,18108,46009,46529
22009/28539,18107,22009,28539
54261/54379,18106,54261,54379
46009/46461,18102,46009,46461
28009/28541,18075,28009,28541
21459/28099,18052,21459,28099
46549/46529,18042,46549,46529
80101/60121,18019,80101,60121
55509/55139,18018,55509,55139
28511/28401,17973,28511,28401
43009/42319,17935,43009,42319
84579/84031,17933,84579,84031
52321/52009,17916,52321,52009
64009/64329,17888,64009,64329
10341/10169,17833,10341,10169
46069/46511,17825,46069,46511
22009/22521,17784,22009,22521
75279/75009,17774,75279,75009
59409/59569,17770,59409,59569
62251/64009,17764,62251,64009
22009/22251,17732,22009,22251
46779/46679,17714,46779,46679
19039/19071,17705,19039,19071
67409/67399,17662,67409,67399
81119/81219,17639,81119,81219
44879/44031,17639,44879,44031
27411/22009,17636,27411,22009
54019/53231,17632,54019,53231
47049/46521,17602,47049,46521
50059/50038,17572,50059,50038
17009/17269,17568,17009,17269
59009/59651,17560,59009,59651
11161/11009,17512,11161,11009
11149/11529,17507,11149,11529
52009/52539,17501,52009,52539
47561/47591,17499,47561,47591
67369/67009,17484,67369,67009
76219/75009,17484,76219,75009
44189/44009,17481,44189,44009
21249/22009,17472,21249,22009
17179/17159,17464,17179,17159
28509/28009,17456,28509,28009
59231/59689,17419,59231,59689
76391/75009,17418,76391,75009
45319/44009,17409,45319,44009
84401/84009,17408,84401,84009
84009/84559,17402,84009,84559
54261/66101,17351,54261,66101
27531/22529,17348,27531,22529
64241/64541,17347,64241,64541
28079/28009,17345,28079,28009
83321/83361,17304,83321,83361
84009/84549,17290,84009,84549
54011/54009,17283,54011,54009
84409/84009,17267,84409,84009
52009/60261,17258,52009,60261
10169/13121,17218,10169,13121
22009/27469,17203,22009,27469
46771/47611,17180,46771,47611
21651/28091,17169,21651,28091
65191/59041,17154,65191,59041
45009/44611,17133,45009,44611
58129/58211,17129,58129,58211
52059/52009,17123,52059,52009
19071/11361,17108,19071,11361
65009/65371,17045,65009,65371
54009/54169,17045,54009,54169
65229/65009,17040,65229,65009
44499/44009,17027,44499,44009
67239/67009,17001,67239,67009
46681/46009,16977,46681,46009
52009/52079,16964,52009,52079
28009/21011,16943,28009,21011
17171/12201,16933,17171,12201
28531/22009,16914,28531,22009
11169/10139,16841,11169,10139
83062/84021,16836,83062,84021
22009/27321,16793,22009,27321
52009/52271,16765,52009,52271
76271/75009,16764,76271,75009
64009/64401,16762,64009,64401
43571/43491,16758,43571,43491
10169/10071,16742,10169,10071
59461/59671,16740,59461,59671
22009/21241,16707,22009,21241
11009/11169,16670,11009,11169
76051/75009,16598,76051,75009
66351/66371,16591,66351,66371
43009/43359,16571,43009,43359
44551/44031,16534,44551,44031
44539/44289,16527,44539,44289
59049/75009,16486,59049,75009
47551/47591,16473,47551,47591
54231/54261,16472,54231,54261
46009/47611,16434,46009,47611
81089/80069,16428,81089,80069
17009/17279,16395,17009,17279
67179/67009,16389,67179,67009
28469/28009,16387,28469,28009
65009/65531,16358,65009,65531
53009/53361,16324,53009,53361
44569/44009,16284,44569,44009
46979/46639,16271,46979,46639
67409/67371,16252,67409,67371
77009/78181,16234,77009,78181
84239/84009,16225,84239,84009
10161/14389,16148,10161,14389
22449/22009,16132,22449,22009
54221/54009,16112,54221,54009
47671/46779,16107,47671,46779
24009/26269,16099,24009,26269
44031/44871,16086,44031,44871
22009/21609,16082,22009,21609
77279/77009,16078,77279,77009
46469/46009,16076,46469,46009
75009/76269,16058,75009,76269
67409/67559,16015,67409,67559
77289/77039,16014,77289,77039
28541/28009,15997,28541,28009
22009/30021,15987,22009,30021
11369/19089,15942,11369,19089
28091/21451,15922,28091,21451
65549/65009,15919,65549,65009
44009/48131,15914,44009,48131
84009/84401,15876,84009,84401
82091/81129,15867,82091,81129
75111/75009,15864,75111,75009
66009/70059,15864,66009,70059
11439/11169,15813,11439,11169
17239/17061,15799,17239,17061
84249/84009,15788,84249,84009
59073/59289,15784,59073,59289
84009/84119,15777,84009,84119
63341/63039,15776,63341,63039
17171/42311,15775,17171,42311
60089/52009,15774,60089,52009
84031/85091,15772,84031,85091
43449/43419,15752,43449,43419
21591/22009,15748,21591,22009
64471/64549,15742,64471,64549
28009/20201,15731,28009,20201
14141/14041,15714,14141,14041
46009/46689,15713,46009,46689
59281/59671,15709,59281,59671
44699/45009,15697,44699,45009
14119/14379,15693,14119,14379
54329/53231,15692,54329,53231
58259/58361,15691,58259,58361
59529/59073,15661,59529,59073
58151/58169,15609,58151,58169
28439/28009,15588,28439,28009
84069/84039,15578,84069,84039
45009/44651,15567,45009,44651
54261/66341,15556,54261,66341
45461/44031,15548,45461,44031
67601/67629,15532,67601,67629
46941/46779,15527,46941,46779
58269/59073,15494,58269,59073
84309/84009,15477,84309,84009
44009/44189,15427,44009,44189
43351/43009,15425,43351,43009
67609/67619,15418,67609,67619
64009/62251,15416,64009,62251
54009/66331,15415,54009,66331
52149/52009,15413,52149,52009
66349/54269,15406,66349,54269
46009/75359,15400,46009,75359
95029/65191,15384,95029,65191
54009/48131,15331,54009,48131
28009/28081,15321,28009,28081
17171/20021,15302,17171,20021
84009/84221,15297,84009,84221
22009/27331,15295,22009,27331
78169/77009,15287,78169,77009
76261/75009,15281,76261,75009
59139/59239,15273,59139,59239
12209/17179,15264,12209,17179
10201/11529,15247,10201,11529
46009/46969,15219,46009,46969
78159/77009,15216,78159,77009
83101/72011,15203,83101,72011
59059/59049,15167,59059,59049
17239/17159,15163,17239,17159
84209/84009,15144,84209,84009
54199/54261,15141,54199,54261
44669/45009,15100,44669,45009
27159/22529,15076,27159,22529
11189/11169,15059,11189,11169
46479/46009,15055,46479,46009
60139/60119,15051,60139,60119
54319/53231,15045,54319,53231
19011/17171,15025,19011,17171
67009/67361,14983,67009,67361
52009/52059,14975,52009,52059
21421/28099,14969,21421,28099
46529/47041,14951,46529,47041
43009/43421,14950,43009,43421
17009/17049,14922,17009,17049
46809/46779,14920,46809,46779
83361/83329,14903,83361,83329
17229/17009,14901,17229,17009
60269/60179,14890,60269,60179
59091/59249,14877,59091,59249
76249/75009,14864,76249,75009
65379/65009,14860,65379,65009
17009/17071,14839,17009,17071
52009/52309,14813,52009,52309
43009/43319,14810,43009,43319
65031/67009,14779,65031,67009
46999/46009,14768,46999,46009
59269/59073,14744,59269,59073
46771/46841,14739,46771,46841
12101/42059,14734,12101,42059
44871/44009,14719,44871,44009
76421/75009,14717,76421,75009
28009/29039,14697,28009,29039
46119/46521,14687,46119,46521
84031/84661,14668,84031,84661
75351/65191,14620,75351,65191
27131/22529,14611,27131,22529
17219/17009,14601,17219,17009
17171/28679,14582,17171,28679
55509/55159,14579,55509,55159
76129/75009,14578,76129,75009
26261/25429,14566,26261,25429
22009/22411,14549,22009,22411
17041/17009,14547,17041,17009
21689/28099,14500,21689,28099
59119/59009,14494,59119,59009
22009/27101,14473,22009,27101
43361/43009,14467,43361,43009
77009/77221,14454,77009,77221
44869/45009,14445,44869,45009
67601/64461,14438,67601,64461
77009/77271,14437,77009,77271
59421/59571,14415,59421,59571
67551/67401,14396,67551,67401
77219/77009,14388,77219,77009
44291/44531,14376,44291,44531
66271/66359,14351,66271,66359
40011/50021,14350,40011,50021
27109/22009,14326,27109,22009
53009/53331,14323,53009,53331
59073/59299,14310,59073,59299
54009/54411,14296,54009,54411
28009/28681,14283,28009,28681
46009/47551,14276,46009,47551
59049/65199,14251,59049,65199
11149/10299,14224,11149,10299
59171/59072,14223,59171,59072
45299/44531,14197,45299,44531
84241/84039,14189,84241,84039
59009/59419,14188,59009,59419
44009/44299,14169,44009,44299
23189/23499,14162,23189,23499
45309/44031,14160,45309,44031
28091/21619,14152,28091,21619
98019/76039,14148,98019,76039
