BusStopCode,TIME_PER_HOUR,TOTAL_TRIPS
10009,23,3066
10011,23,559
10017,23,546
10018,23,478
10021,23,117
10041,23,1491
10049,23,567
10051,23,380
10059,23,159
10061,23,438
10069,23,244
10071,23,1301
10079,23,1385
10081,23,660
10089,23,868
10091,23,1103
10099,23,644
10101,23,290
10109,23,92
10111,23,788
10119,23,366
10121,23,760
10129,23,202
10131,23,873
10139,23,891
10141,23,561
10149,23,906
10151,23,628
10161,23,5525
10169,23,3654
10171,23,206
10179,23,100
10181,23,449
10189,23,649
10191,23,525
10199,23,312
10201,23,1578
10209,23,1560
10211,23,6
10219,23,9
10221,23,122
10229,23,57
10231,23,291
10239,23,590
10241,23,107
10249,23,72
10261,23,140
10269,23,55
10271,23,96
10279,23,70
10281,23,239
10289,23,98
10291,23,1083
10299,23,996
10321,23,67
10329,23,97
10331,23,82
10339,23,202
10341,23,603
10349,23,1013
10351,23,258
10359,23,242
10361,23,547
10369,23,739
10371,23,632
10379,23,1151
10381,23,546
10389,23,530
10391,23,415
10399,23,218
10401,23,21
10409,23,153
10411,23,17
10419,23,46
10421,23,115
10429,23,183
10431,23,96
10439,23,59
10441,23,52
10449,23,54
10451,23,32
10459,23,80
10461,23,20
10469,23,42
10471,23,6
10479,23,13
10481,23,246
10489,23,64
10499,23,220
10501,23,138
10519,23,295
10599,23,818
10651,23,75
10659,23,74
11009,23,946
11019,23,726
11021,23,992
11029,23,861
11031,23,295
11039,23,318
11041,23,552
11049,23,446
11051,23,603
11059,23,716
11061,23,238
11069,23,83
11071,23,743
11079,23,565
11081,23,72
11089,23,101
11091,23,181
11099,23,164
11101,23,307
11109,23,258
11111,23,737
11119,23,747
11131,23,222
11139,23,187
11141,23,1310
11149,23,766
11151,23,254
11159,23,155
11161,23,3895
11169,23,2550
11171,23,734
11179,23,540
11181,23,1030
11189,23,837
11191,23,669
11199,23,451
11201,23,750
11209,23,189
11211,23,239
11219,23,35
11221,23,122
11229,23,79
11231,23,148
11239,23,96
11259,23,68
11261,23,1618
11269,23,287
11271,23,96
11279,23,31
11281,23,39
11289,23,45
11291,23,275
11299,23,89
11301,23,38
11309,23,36
11311,23,13
11319,23,16
11321,23,22
11329,23,47
11331,23,45
11339,23,25
11341,23,136
11349,23,147
11351,23,255
11359,23,9
11361,23,1610
11369,23,5246
11379,23,76
11381,23,156
11389,23,579
11401,23,765
11409,23,276
11419,23,919
11429,23,75
11439,23,375
11441,23,263
11449,23,348
11451,23,104
11459,23,88
11469,23,8
11471,23,10
11481,23,8
11489,23,1
11491,23,14
11499,23,33
11511,23,1100
11519,23,849
11521,23,630
11529,23,269
11531,23,133
11539,23,46
11541,23,10
11551,23,206
11561,23,90
11579,23,124
11589,23,100
11599,23,92
11609,23,6
12021,23,189
12029,23,55
12031,23,354
12039,23,203
12041,23,201
12049,23,148
12051,23,204
12059,23,124
12061,23,835
12069,23,538
12071,23,395
12079,23,306
12081,23,30
12089,23,49
12091,23,779
12099,23,380
12101,23,530
12109,23,193
12111,23,124
12119,23,87
12201,23,123
12209,23,55
