TOTAL_TRIPS,BusStopCode,type,Description,Latitude,Longitude
50,10361,origin,Cendex Ctr,1.28038092060065,103.82353025808791
22,10371,origin,Blk 129,1.28365072319387,103.824502653383
27,10381,origin,Opp Blk 48,1.28906972186602,103.82559411728036
24,13051,origin,Opp Valley Pt,1.29334305906356,103.8263656209055
19,13063,origin,RV SUITES,1.29534692836828,103.82964309110659
3,13141,origin,Aft Zion Full Gospel Ch,1.29763682834545,103.82997986347917
14,13191,origin,Bef Orchard Blvd,1.30266053145965,103.82987799248593
250,14009,origin,HarbourFront Int,1.26703502614245,103.81901469907409
1,14011,origin,Bef Mt Faber Lodge,1.26795444401606,103.8255261109799
32,14031,origin,St. Theresa's Convent,1.27624277802151,103.82306027800865
15,14069,origin,Former Railway Stn,1.27261333297575,103.83694861102117
9,14109,origin,Keppel DP Blk 517,1.26804601553507,103.82722490505579
148,14119,origin,Opp VivoCity,1.26592360897281,103.8222827803663
386,14129,origin,Harbourfront Stn Exit A,1.26607869101924,103.81977877391114
12,14139,origin,Bef Seah Im Rd,1.2686352773503,103.81546952380809
19,14159,origin,Bef Chr Community Chapel,1.26994046445496,103.81315419081787
37,14169,origin,Opp Telok Blangah Stn,1.27118550385957,103.80941810434497
5,14179,origin,Yeo's Bldg,1.27188454577735,103.80630000533797
14,14189,origin,Aft Alexandra Rd,1.27269303340787,103.80398363214624
22,14379,origin,Blk 40,1.27243833303297,103.82379361102515
16,15149,origin,Labrador Pk Stn/PSA Bldg,1.27341871854745,103.80055546758587
17,15159,origin,Mapletree Business City,1.27426303773784,103.79839350407595
29,15169,origin,Harbourside Ind Bldg 2,1.27481499269165,103.79673994290195
16,15199,origin,Opp Currency Hse,1.27604240853686,103.79318399639808
1,15209,origin,Bef Pasir Panjang Stn,1.27706561928684,103.79023432729963
5,15219,origin,Pasir View Pk,1.27818114088895,103.78701031206879
3,15229,origin,Bef Sth Buona Vista Rd,1.27937638961898,103.78572727156029
50,16009,origin,Kent Ridge Ter,1.29425341056334,103.76988323197696
16,16019,origin,Haw Par Villa Stn,1.28278078585184,103.78217614858187
2,16029,origin,Gloria Man,1.28608472200879,103.78022138902949
1,16039,origin,S'pore Science Pk II,1.28799020188116,103.77872029260048
4,16049,origin,WHITEHAVEN,1.28910696351866,103.77738952047318
2,16059,origin,Jamiyah Halfway Hse,1.28967266173408,103.77594136139503
7,16069,origin,Heng Mui Keng Terr,1.29082972200391,103.7731166669843
2,16079,origin,Bef Pasir Panjang PO,1.29138264862382,103.77129836184207
12,16089,origin,Aft Clementi Rd,1.29201138346787,103.76908420716119
45,40019,origin,Little India Stn,1.30664404460339,103.84920416709382
7,40029,origin,Aft Makepeace Rd,1.31142305600915,103.84265999998345
15,40039,origin,Opp Newton FC,1.31230305602353,103.8407255559936
1,40049,origin,Opp Newton Stn Exit C,1.31402305600959,103.83884638900086
18,40059,origin,Chancery Ct,1.31662138896806,103.83634361100417
3,40069,origin,Anglo-Chinese Sch,1.31830398893217,103.83435129198834
3,40079,origin,SCGS PR,1.3197216415795,103.8299145659947
5,40089,origin,Opp Stevens Stn,1.32051115982554,103.82739799064892
1,40119,origin,Bef Goldhill Ave,1.31889734253426,103.83249521257974
154,40279,origin,KK Women & Child Hosp,1.30981925741503,103.8460393043403
2,41019,origin,Aft Kheam Hock Rd,1.32267444098276,103.82025232877241
13,41029,origin,Opp Botanic Gdns Stn,1.32333331915013,103.81630566925632
7,41049,origin,Opp Coronation Plaza,1.32469500003392,103.81026249997407
5,41069,origin,Opp Tan Kah Kee Stn,1.32652777798065,103.80758583296918
5,41079,origin,Natl JC,1.32940305598521,103.80304777797754
4,41089,origin,Aft Jln Naga Sari,1.33044921085796,103.79993319513187
12,42019,origin,Opp Sixth Ave Stn,1.33170368135595,103.79657033601987
3,42029,origin,Aft Swiss Club Rd,1.33325151466609,103.79206171859214
6,42039,origin,Opp The Nexus,1.33474752657285,103.7877986922408
5,42049,origin,Hua Guan Gdns,1.33580349277905,103.7846322701164
14,42059,origin,Opp King Albert Pk Stn,1.33679896138996,103.78180146215335
5,42089,origin,Opp Bt Timah Plaza,1.34007090936874,103.77941451542826
10,42109,origin,Opp Beauty World Ctr,1.343246111,103.7769164
6,42119,origin,Southaven II,1.34582513057916,103.77330275765884
2,43019,origin,Aft Bt Timah Fire Stn,1.348201944,103.7710775
1,43029,origin,Opp The Hillside,1.35218580086883,103.77000849173528
6,43049,origin,Opp Hume Pk Condo,1.3556996199834,103.76885141403912
4,43059,origin,The Rail Mall,1.359408611,103.7674364
5,43069,origin,HILLVIEW STN EXIT A,1.36296778241046,103.76768583722071
2,43089,origin,Aft Assumption Eng Sch,1.36705664197789,103.76608527288596
3,43099,origin,Assumption Pathway Sch,1.36872205121157,103.76498636840047
5,43109,origin,Cashew Stn,1.37043731031208,103.76391083181434
161,44009,origin,Choa Chu Kang Int,1.38586897797184,103.74578895932125
1,44019,origin,The Linear,1.37651095528157,103.7625299525816
30,44029,origin,Bt Panjang Stn Exit A/Lrt,1.37863409952448,103.7621954983533
18,44121,origin,Blk 113,1.37769846227758,103.75093552549583
14,44131,origin,Blk 26,1.37710069702793,103.75532192967427
12,44141,origin,Phoenix Stn,1.37835602806756,103.75773677895589
3,44441,origin,Blk 239,1.37924285981093,103.74754322627454
7,44451,origin,Blk 224,1.38077375279629,103.74424353296656
7,44461,origin,Blk 352,1.3825705560115,103.7430047219692
3753,46009,origin,W'Lands Temp Int,1.43762790090815,103.7864999963898
276,46281,origin,Blk 825,1.43878695707764,103.79002589502426
789,46391,origin,Blk 853,1.43921765358175,103.79299454006805
1144,46761,origin,Blk 706,1.43964444400977,103.79740027801978
3578,46771,origin,Opp Admiralty Stn,1.44088808355944,103.80018670656507
1608,47601,origin,Blk 793,1.44211880036977,103.80304911976373
1999,47611,origin,Woodsvale Condo,1.44388706173517,103.80622284389754
743,52009,origin,Toa Payoh Int,1.33202083385749,103.84692763524869
16,52051,origin,BLK 147,1.34338820709349,103.85469257245785
6,52061,origin,BCA Academy,1.34352174018964,103.85873879159365
44,52081,origin,Aft Blk 195,1.33081389290944,103.8608407974236
6,52251,origin,Chung Hwa Free Clinic,1.3329698063249,103.85142087938439
32,52271,origin,Jackson Sq,1.33683113907107,103.84974718092391
