node_id,name,jurisdiction,jurisdiction_description,country_codes,countries,incorporation_date,inactivation_date,struck_off_date,closed_date,ibcRUC,status,company_type,service_provider,sourceID,valid_until,note
82008232,Reliance China and Hong Kong Opportunity Fund Limited,BM,Bermuda,BMU,Bermuda,05-NOV-2007,,,08-DEC-2008,40983,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82008233,Avenir Worldwide (XRS) Ltd.,BM,Bermuda,BMU,Bermuda,30-OCT-2007,,,,EC 40911,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82008237,Ouhua Energy International Limited,BM,Bermuda,BMU;CHN,Bermuda;China,31-OCT-2007,,,19-OCT-2010,40914,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82008239,Reliance Asset Management Limited,BM,Bermuda,BMU;HKG,Bermuda;Hong Kong,01-NOV-2007,,,21-OCT-2009,40918,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82008078,TeaM Energy (Bermuda) Limited,BM,Bermuda,BMU;PHL,Bermuda;Philippines,09-AUG-2007,,,09-MAY-2008,EC 40516,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82008097,MGPA (Exec) Limited,BM,Bermuda,BMU,Bermuda,27-AUG-2007,,,,40582,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82008107,China Stationery Limited,BM,Bermuda,BMU,Bermuda,14-AUG-2007,,,,40535,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82008523,FAST Wah Lei International Holdings Limited,BM,Bermuda,BMU;HKG,Bermuda;Hong Kong,15-APR-2008,,,10-DEC-2010,41757,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82008535,Fincorp Holdings Ltd.,BM,Bermuda,BMU;SGP,Bermuda;Singapore,19-MAY-2008,,,,41893,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82008341,CABASSOLE LIMITED,BM,Bermuda,BMU,Bermuda,27-JUN-2005,,,30-JUL-2010,37010,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82008342,SAINT AMAND LIMITED,BM,Bermuda,BMU,Bermuda,19-DEC-2002,,,30-JUL-2010,33116,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82008343,MONT MIRAIL LIMITED,BM,Bermuda,BMU,Bermuda,28-JAN-2002,,,30-JUL-2010,31598,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
