START_ID,label
80026680,0
80027034,0
80027102,0
80027307,0
80028225,0
80029568,0
80029906,0
80030047,0
80030083,0
80030093,0
80030695,0
80031866,0
80032076,0
80032132,0
80032678,0
80034131,0
80034685,0
80035587,0
80037224,0
80037563,0
80037688,0
80038125,0
80038615,0
80039976,0
80040128,0
80040242,0
80040268,0
80040352,0
80040863,0
80042446,0
80042464,0
80042473,0
80043729,0
80044337,0
80045243,0
80046014,0
80046360,0
80046423,0
80046639,0
80046640,0
80046702,0
80046816,0
80046832,0
80046918,0
80046923,0
80047049,0
80047125,0
80047204,0
80047295,0
80047302,0
80047303,0
80047621,0
80047660,0
80047678,0
80047810,0
80047905,0
80048040,0
80048077,0
80048078,0
80048086,0
80048091,0
80048100,0
80048102,0
80048374,0
80048380,0
80048420,0
80048454,0
80048456,0
80048497,0
80048511,0
80048514,0
80048559,0
80048560,0
80048634,0
80048744,0
80048751,0
80048755,0
80048762,0
80048764,0
80048769,0
80049017,0
80049056,0
80049083,0
80049091,0
80049092,0
80049095,0
80049098,0
80049102,0
80049107,0
80049108,0
80049116,0
80049123,0
80049233,0
80049436,0
80049437,0
80049440,0
80049450,0
80049456,0
80049473,0
80049480,0
80049487,0
80049488,0
80049682,0
80049768,0
80049771,0
80053735,0
80054822,0
80054878,0
80055183,0
80055482,0
80056276,0
80056658,0
80056746,0
80056922,0
80057095,0
80057124,0
80057285,0
80057296,0
80057573,0
80057761,0
80058950,0
80059301,0
80059305,0
80059306,0
80059484,0
80059608,0
80060214,0
80060840,0
80062497,0
80062652,0
80062821,0
80062877,0
80063156,0
80063366,0
80064484,0
80064646,0
80064919,0
80065737,0
80066102,0
80066252,0
80066279,0
80066713,0
80068132,0
80068233,0
80068241,0
80068268,0
80068863,0
80070467,0
80070491,0
80070496,0
80070497,0
80070500,0
80070505,0
80071203,0
80071394,0
80072060,0
80073128,0
80073168,0
80073709,0
80074057,0
80074061,0
80074260,0
80075287,0
80075348,0
80075351,0
80075383,0
80075412,0
80075831,0
80075967,0
80075982,0
80076726,0
80077423,0
80077511,0
80077770,0
80078425,0
80078552,0
80078588,0
80078592,0
80078720,0
80078856,0
80078857,0
80079273,0
80079420,0
80079421,0
80079743,0
80080263,0
80080443,0
80081814,0
80082527,0
80082681,0
80083150,0
80083151,0
80083154,0
80083155,0
80083221,0
80083434,0
80084126,0
80084900,0
80085157,0
80085186,0
80085550,0
80085621,0
80085969,0
80086439,0
80086440,0
80086449,0
80086527,0
80086535,0
80086539,0
80086783,0
80087553,0
80087588,0
80087688,0
80087707,0
80087710,0
80087712,0
80087713,0
80087714,0
80087716,0
80087905,0
80087947,0
80088025,0
80088118,0
80088134,0
80088250,0
80088425,0
80088555,0
80088559,0
80088569,0
80088641,0
80088747,0
80088774,0
80088879,0
80088893,0
80088934,0
80088939,0
80088952,0
80088965,0
80088994,0
80089031,0
80089058,0
80089558,0
80089566,0
80089567,0
80089591,0
80089602,0
80089672,0
80089754,0
80090101,0
80090719,0
80090992,0
80091221,0
80091401,0
80091404,0
80091419,0
80091423,0
80091455,0
80091507,0
80091531,0
80091550,0
80091557,0
80091665,0
80091674,0
80091831,0
80091852,0
80091853,0
80091957,0
80092225,0
80092305,0
80092310,0
80092318,0
80092357,0
80092360,0
80092387,0
80092467,0
80092650,0
80092919,0
80092989,0
80093175,0
80093238,0
80093296,0
80093380,0
80093430,0
80093609,0
80093615,0
80093616,0
80093646,0
80093647,0
80093648,0
80093657,0
