country,datetime,value,date
Belgium,1979-01-01,0,Jan 1979
Belgium,1984-01-01,0,Jan 1984
Belgium,1989-01-01,0,Jan 1989
Belgium,1990-01-01,0,Jan 1990
Belgium,1991-01-01,0,Jan 1991
Belgium,1992-01-01,0,Jan 1992
Belgium,1994-01-01,0,Jan 1994
Belgium,1995-01-01,0,Jan 1995
Belgium,1999-01-01,0,Jan 1999
Belgium,2000-01-01,0,Jan 2000
Belgium,2001-01-01,0,Jan 2001
Belgium,2002-01-01,0,Jan 2002
Belgium,2003-01-01,0,Jan 2003
Belgium,2004-01-01,0,Jan 2004
Belgium,2005-01-01,0,Jan 2005
Belgium,2006-01-01,0,Jan 2006
Belgium,2007-01-01,1,Jan 2007
Belgium,2008-01-01,1,Jan 2008
Belgium,2009-01-01,2,Jan 2009
Belgium,2010-01-01,2,Jan 2010
Belgium,2011-01-01,2,Jan 2011
Belgium,2011-07-01,2,Jul 2011
Belgium,2012-01-01,2,Jan 2012
Belgium,2012-07-01,2,Jul 2012
Belgium,2013-01-01,4,Jan 2013
Belgium,2014-01-01,5,Jan 2014
Belgium,2015-01-01,5,Jan 2015
Belgium,2016-01-01,6,Jan 2016
Belgium,2016-07-01,6,Jul 2016
Belgium,2017-01-01,6,Jan 2017
Belgium,2017-12-01,6,Dec 2017
Belgium,2018-06-01,7,Jun 2018
Belgium,2018-12-01,7,Dec 2018
Belgium,2019-06-01,7,Jun 2019
Bermuda,1979-01-01,0,Jan 1979
Bermuda,1984-01-01,0,Jan 1984
Bermuda,1989-01-01,0,Jan 1989
Bermuda,1990-01-01,0,Jan 1990
Bermuda,1991-01-01,0,Jan 1991
Bermuda,1992-01-01,0,Jan 1992
Bermuda,1994-01-01,0,Jan 1994
Bermuda,1995-01-01,0,Jan 1995
Bermuda,1999-01-01,1,Jan 1999
Bermuda,2000-01-01,1,Jan 2000
Bermuda,2001-01-01,1,Jan 2001
Bermuda,2002-01-01,1,Jan 2002
Bermuda,2003-01-01,1,Jan 2003
Bermuda,2004-01-01,1,Jan 2004
Bermuda,2005-01-01,1,Jan 2005
Bermuda,2006-01-01,1,Jan 2006
Bermuda,2007-01-01,1,Jan 2007
Bermuda,2008-01-01,1,Jan 2008
Bermuda,2009-01-01,1,Jan 2009
Bermuda,2010-01-01,1,Jan 2010
Bermuda,2011-01-01,1,Jan 2011
Bermuda,2011-07-01,1,Jul 2011
Bermuda,2012-01-01,1,Jan 2012
Bermuda,2012-07-01,1,Jul 2012
Bermuda,2013-01-01,1,Jan 2013
Bermuda,2014-01-01,1,Jan 2014
Bermuda,2015-01-01,1,Jan 2015
Bermuda,2016-01-01,1,Jan 2016
Bermuda,2016-07-01,1,Jul 2016
Bermuda,2017-01-01,1,Jan 2017
Bermuda,2017-12-01,1,Dec 2017
Bermuda,2018-06-01,1,Jun 2018
Bermuda,2018-12-01,1,Dec 2018
Bermuda,2019-06-01,1,Jun 2019
Brazil,1979-01-01,0,Jan 1979
Brazil,1984-01-01,0,Jan 1984
Brazil,1989-01-01,0,Jan 1989
Brazil,1990-01-01,0,Jan 1990
Brazil,1991-01-01,0,Jan 1991
Brazil,1992-01-01,0,Jan 1992
Brazil,1994-01-01,0,Jan 1994
Brazil,1995-01-01,0,Jan 1995
Brazil,1999-01-01,0,Jan 1999
Brazil,2000-01-01,0,Jan 2000
Brazil,2001-01-01,0,Jan 2001
Brazil,2002-01-01,0,Jan 2002
Brazil,2003-01-01,0,Jan 2003
Brazil,2004-01-01,0,Jan 2004
Brazil,2005-01-01,1,Jan 2005
Brazil,2006-01-01,1,Jan 2006
Brazil,2007-01-01,2,Jan 2007
Brazil,2008-01-01,2,Jan 2008
Brazil,2009-01-01,4,Jan 2009
Brazil,2010-01-01,5,Jan 2010
Brazil,2011-01-01,5,Jan 2011
Brazil,2011-07-01,5,Jul 2011
Brazil,2012-01-01,5,Jan 2012
Brazil,2012-07-01,5,Jul 2012
Brazil,2013-01-01,6,Jan 2013
Brazil,2014-01-01,6,Jan 2014
Brazil,2015-01-01,7,Jan 2015
Brazil,2016-01-01,9,Jan 2016
Brazil,2016-07-01,9,Jul 2016
Brazil,2017-01-01,13,Jan 2017
Brazil,2017-12-01,13,Dec 2017
Brazil,2018-06-01,16,Jun 2018
Brazil,2018-12-01,16,Dec 2018
Brazil,2019-06-01,18,Jun 2019
Canada,1979-01-01,0,Jan 1979
Canada,1984-01-01,0,Jan 1984
Canada,1989-01-01,0,Jan 1989
Canada,1990-01-01,0,Jan 1990
Canada,1991-01-01,1,Jan 1991
Canada,1992-01-01,1,Jan 1992
Canada,1994-01-01,2,Jan 1994
Canada,1995-01-01,2,Jan 1995
Canada,1999-01-01,5,Jan 1999
Canada,2000-01-01,5,Jan 2000
Canada,2001-01-01,5,Jan 2001
Canada,2002-01-01,5,Jan 2002
Canada,2003-01-01,5,Jan 2003
Canada,2004-01-01,5,Jan 2004
Canada,2005-01-01,5,Jan 2005
Canada,2006-01-01,5,Jan 2006
Canada,2007-01-01,6,Jan 2007
Canada,2008-01-01,6,Jan 2008
Canada,2009-01-01,12,Jan 2009
Canada,2010-01-01,12,Jan 2010
Canada,2011-01-01,16,Jan 2011
Canada,2011-07-01,16,Jul 2011
Canada,2012-01-01,20,Jan 2012
Canada,2012-07-01,21,Jul 2012
Canada,2013-01-01,25,Jan 2013
Canada,2014-01-01,33,Jan 2014
Canada,2015-01-01,36,Jan 2015
Canada,2016-01-01,48,Jan 2016
Canada,2016-07-01,48,Jul 2016
Canada,2017-01-01,53,Jan 2017
Canada,2017-12-01,53,Dec 2017
Canada,2018-06-01,58,Jun 2018
Canada,2018-12-01,58,Dec 2018
Canada,2019-06-01,59,Jun 2019
Chile,1979-01-01,0,Jan 1979
Chile,1984-01-01,0,Jan 1984
Chile,1989-01-01,0,Jan 1989
Chile,1990-01-01,0,Jan 1990
Chile,1991-01-01,0,Jan 1991
Chile,1992-01-01,0,Jan 1992
Chile,1994-01-01,0,Jan 1994
Chile,1995-01-01,0,Jan 1995
Chile,1999-01-01,0,Jan 1999
Chile,2000-01-01,0,Jan 2000
Chile,2001-01-01,0,Jan 2001
Chile,2002-01-01,0,Jan 2002
Chile,2003-01-01,0,Jan 2003
Chile,2004-01-01,0,Jan 2004
Chile,2005-01-01,0,Jan 2005
Chile,2006-01-01,0,Jan 2006
Chile,2007-01-01,0,Jan 2007
Chile,2008-01-01,0,Jan 2008
Chile,2009-01-01,0,Jan 2009
Chile,2010-01-01,0,Jan 2010
Chile,2011-01-01,1,Jan 2011
Chile,2011-07-01,1,Jul 2011
Chile,2012-01-01,1,Jan 2012
Chile,2012-07-01,1,Jul 2012
Chile,2013-01-01,1,Jan 2013
Chile,2014-01-01,1,Jan 2014
Chile,2015-01-01,1,Jan 2015
Chile,2016-01-01,1,Jan 2016
Chile,2016-07-01,1,Jul 2016
Chile,2017-01-01,2,Jan 2017
Chile,2017-12-01,2,Dec 2017
Chile,2018-06-01,3,Jun 2018
Chile,2018-12-01,3,Dec 2018
Chile,2019-06-01,3,Jun 2019
China,1979-01-01,0,Jan 1979
China,1984-01-01,0,Jan 1984
China,1989-01-01,0,Jan 1989
China,1990-01-01,0,Jan 1990
China,1991-01-01,0,Jan 1991
China,1992-01-01,0,Jan 1992
China,1994-01-01,0,Jan 1994
China,1995-01-01,0,Jan 1995
China,1999-01-01,0,Jan 1999
China,2000-01-01,0,Jan 2000
China,2001-01-01,0,Jan 2001
China,2002-01-01,0,Jan 2002
China,2003-01-01,0,Jan 2003
China,2004-01-01,0,Jan 2004
China,2005-01-01,0,Jan 2005
